candidate_id,artist,title,country,expected_year,style,youtube_artist_name,spotify_track_id,primary_artist_id,primary_artist_url,spotify_url,spotify_title,spotify_artists,spotify_album,spotify_release_date,spotify_isrc,spotify_duration_ms,spotify_api_popularity,validation_status,validation_notes,artist_monthly_listeners,artist_monthly_listeners_captured_at,artist_monthly_listeners_source,artist_monthly_listeners_fetch_error,stream_count,captured_at,source_note,stream_count_censored,spotify_metric,spotify_metric_value,spotify_percentile,spotify_tier,spotify_log10_popularity,spotify_magnitude_tier,spotify_magnitude_cluster_center,spotify_magnitude_distance_to_center
M011,Accept,Teutonic Terror,Germany,2010,heavy metal,,3crIa21lfjekujCQuGjlJT,3JDIAtVrJdQ7GFOX26LYpv,https://open.spotify.com/artist/3JDIAtVrJdQ7GFOX26LYpv,https://open.spotify.com/track/3crIa21lfjekujCQuGjlJT,Teutonic Terror,Accept,Blood of the Nations,2010-08-20,DED831000251,313586,,OK,,1213609,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,1213609,86.14,High,6.084079,High,5.895970,0.188109
M012,Orden Ogan,Gunman,Germany,2017,power metal,,3Mz5lXbMBK2tUmKAwAJwi1,3t5X2CVDf5mrlIx1SdvWYM,https://open.spotify.com/artist/3t5X2CVDf5mrlIx1SdvWYM,https://open.spotify.com/track/3Mz5lXbMBK2tUmKAwAJwi1,Gunman,Orden Ogan,Gunmen,2017-07-07,DEU601706950,317733,,OK,,260052,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,260052,66.87,Buffer,5.415062,High,5.895970,0.480908
M013,Primal Fear,The End Is Near,Germany,2016,heavy metal,,0V2Jge35CQn1Hc9hNBmdbm,1yfiDL3YUEJlQCgb5Pun6g,https://open.spotify.com/artist/1yfiDL3YUEJlQCgb5Pun6g,https://open.spotify.com/track/0V2Jge35CQn1Hc9hNBmdbm,The End Is Near,Primal Fear,Rulebreaker,2016-01-29,ITG271600027,266964,,OK,,116723,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,116723,58.43,Middle,5.067160,High,5.895970,0.828810
M014,Grave Digger,Highland Farewell,Germany,2010,heavy metal,,3zX2MDSXSlQNviigge9vAT,6mfghV4I1CD17FOhDKq7cJ,https://open.spotify.com/artist/6mfghV4I1CD17FOhDKq7cJ,https://open.spotify.com/track/3zX2MDSXSlQNviigge9vAT,Highland Farewell,Grave Digger,The Clans Will Rise Again,2010,ATN261034904,247600,,OK,,76191,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,76191,54.82,Middle,4.881909,Middle,4.092167,0.789743
M015,Iron Maiden,Speed of Light,United Kingdom,2015,heavy metal,,1smvmwmbrQiBwgJZMxVtup,6mdiAmATAx73kdxrNrnlao,https://open.spotify.com/artist/6mdiAmATAx73kdxrNrnlao,https://open.spotify.com/track/1smvmwmbrQiBwgJZMxVtup,Speed of Light,Iron Maiden,The Book of Souls,2015-09-04,GBCHB1410645,301745,,OK,,9421915,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,9421915,96.99,High,6.974139,High,5.895970,1.078169
M016,Judas Priest,Lightning Strike,United Kingdom,2018,heavy metal,,6qopop1Rc9r1RjEIBQhc8d,2tRsMl4eGxwoNabM08Dm4I,https://open.spotify.com/artist/2tRsMl4eGxwoNabM08Dm4I,https://open.spotify.com/track/6qopop1Rc9r1RjEIBQhc8d,Lightning Strike,Judas Priest,Firepower,2018-03-09,GBARL1702142,209453,,OK,,4300621,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,4300621,93.37,High,6.633531,High,5.895970,0.737562
M017,Saxon,Thunderbolt,United Kingdom,2018,heavy metal,,0ViETXmkc9BrgimhkqREGr,71vVmHeNgCVSa5SVmfvscU,https://open.spotify.com/artist/71vVmHeNgCVSa5SVmfvscU,https://open.spotify.com/track/0ViETXmkc9BrgimhkqREGr,Thunderbolt,Saxon,Thunderbolt,2018-02-02,UKKY81700135,239639,,OK,,472829,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,472829,75.30,High,5.674705,High,5.895970,0.221265
M018,DragonForce,Cry Thunder,United Kingdom,2012,power metal,,45W8En2qul3ljQKzIbsyT4,2pH3wEn4eYlMMIIQyKPbVR,https://open.spotify.com/artist/2pH3wEn4eYlMMIIQyKPbVR,https://open.spotify.com/track/45W8En2qul3ljQKzIbsyT4,Cry Thunder,DragonForce,The Power Within,2012-04-17,DEH841500444,317613,,OK,,1856073,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,1856073,90.96,High,6.268595,High,5.895970,0.372626
M019,Sabaton,Bismarck,Sweden,2019,power metal,,39m87lOMd5ccENPVvAT7gH,3o2dn2O0FCVsWDFSh8qxgG,https://open.spotify.com/artist/3o2dn2O0FCVsWDFSh8qxgG,https://open.spotify.com/track/39m87lOMd5ccENPVvAT7gH,Bismarck,Sabaton,Bismarck,2019-05-17,SE6HE1900101,313984,,OK,,3239085,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,3239085,92.17,High,6.510422,High,5.895970,0.614453
M020,HammerFall,Hector's Hymn,Sweden,2014,power metal,,708gbPVWfY8C4Q32PSYlvW,2o18h28enlHxj887tATc58,https://open.spotify.com/artist/2o18h28enlHxj887tATc58,https://open.spotify.com/track/708gbPVWfY8C4Q32PSYlvW,Hector's Hymn,HammerFall,(R)Evolution,2014-08-27,DED831400765,352028,,OK,,889206,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,889206,83.73,High,5.949003,High,5.895970,0.053033
