candidate_id,artist,primary_artist_id,primary_artist_url,artist_monthly_listeners,captured_at_utc,source,fetch_error
M033,Angra,7IAXZaLTb6nkJr8RmVPn5y,https://open.spotify.com/artist/7IAXZaLTb6nkJr8RmVPn5y,613185,2026-06-29T19:38:38+00:00,Spotify public artist page,
M034,Shaman,2THaGrUq7RPnj8Uax9zQ1m,https://open.spotify.com/artist/2THaGrUq7RPnj8Uax9zQ1m,193502,2026-06-29T19:38:38+00:00,Spotify public artist page,
M035,Armored Dawn,1oueQWyrcULGbpk0DyiqGf,https://open.spotify.com/artist/1oueQWyrcULGbpk0DyiqGf,4903,2026-06-29T19:38:38+00:00,Spotify public artist page,
M036,Galneryus,3BNDjSD67jJE4fhxX1b2OV,https://open.spotify.com/artist/3BNDjSD67jJE4fhxX1b2OV,348223,2026-06-29T19:38:38+00:00,Spotify public artist page,
M037,Anthem,67BObUWOkPPGftw3ITCHXH,https://open.spotify.com/artist/67BObUWOkPPGftw3ITCHXH,19104,2026-06-29T19:38:38+00:00,Spotify public artist page,
M038,Concerto Moon,06RLyuNu1DPwwvCxLvN476,https://open.spotify.com/artist/06RLyuNu1DPwwvCxLvN476,2218,2026-06-29T19:38:38+00:00,Spotify public artist page,
M039,Lords of Black,5PgEqen6HcezHZRU1PJO0Z,https://open.spotify.com/artist/5PgEqen6HcezHZRU1PJO0Z,7989,2026-06-29T19:38:38+00:00,Spotify public artist page,
M040,WarCry,3hMTlMf2UGZTeP6DSUUl09,https://open.spotify.com/artist/3hMTlMf2UGZTeP6DSUUl09,264901,2026-06-29T19:38:38+00:00,Spotify public artist page,
M041,Firewind,70I9vE7YTwKmelfEplXc5r,https://open.spotify.com/artist/70I9vE7YTwKmelfEplXc5r,107557,2026-06-29T19:38:38+00:00,Spotify public artist page,
M042,Warrior Path,0Cse5LOTboj572fe5CliXj,https://open.spotify.com/artist/0Cse5LOTboj572fe5CliXj,3319,2026-06-29T19:38:38+00:00,Spotify public artist page,
M043,The Silent Rage,6W8Ifl0HfzmHx6wZeuh3dy,https://open.spotify.com/artist/6W8Ifl0HfzmHx6wZeuh3dy,105,2026-06-29T19:38:38+00:00,Spotify public artist page,
M044,Myrath,72500XOYPw5e7OgFWuW2Gl,https://open.spotify.com/artist/72500XOYPw5e7OgFWuW2Gl,82719,2026-06-29T19:38:38+00:00,Spotify public artist page,
M045,Carthagods,0SdxZAc2eKSnWwhjHEC07W,https://open.spotify.com/artist/0SdxZAc2eKSnWwhjHEC07W,640,2026-06-29T19:38:38+00:00,Spotify public artist page,
M046,Orphaned Land,7xTMxqAmbtE0Nce5lz7t0h,https://open.spotify.com/artist/7xTMxqAmbtE0Nce5lz7t0h,28978,2026-06-29T19:38:38+00:00,Spotify public artist page,
M047,The HU,0b2B3PwcYzQAhuJacmcYgc,https://open.spotify.com/artist/0b2B3PwcYzQAhuJacmcYgc,1657676,2026-06-29T19:38:38+00:00,Spotify public artist page,
M048,Against Evil,7KidUKr9UKzJ7SA5RZYCy9,https://open.spotify.com/artist/7KidUKr9UKzJ7SA5RZYCy9,450,2026-06-29T19:38:38+00:00,Spotify public artist page,
M049,Kryptos,0SmK0Nh1fuDYGSGWDI3eVh,https://open.spotify.com/artist/0SmK0Nh1fuDYGSGWDI3eVh,13832,2026-06-29T19:38:38+00:00,Spotify public artist page,
M050,LORD,6mLDXLOEh4fcvxm5ICKfhE,https://open.spotify.com/artist/6mLDXLOEh4fcvxm5ICKfhE,3073,2026-06-29T19:38:38+00:00,Spotify public artist page,
M051,Black Majesty,2DPNTAyCLXZ7EZqFaESe4q,https://open.spotify.com/artist/2DPNTAyCLXZ7EZqFaESe4q,6794,2026-06-29T19:38:38+00:00,Spotify public artist page,
M052,Elm Street,7GZ2pCmZ6H5vrdfB41vCoy,https://open.spotify.com/artist/7GZ2pCmZ6H5vrdfB41vCoy,5565,2026-06-29T19:38:38+00:00,Spotify public artist page,
M053,Striker,0lwL1Cu96Wvy1hMwfLqHHC,https://open.spotify.com/artist/0lwL1Cu96Wvy1hMwfLqHHC,9273,2026-06-29T19:38:38+00:00,Spotify public artist page,
M054,Skull Fist,6V6MyDcytW48stIykhH937,https://open.spotify.com/artist/6V6MyDcytW48stIykhH937,27621,2026-06-29T19:38:38+00:00,Spotify public artist page,
M055,Traveler,7G0UdhtXkdKanSod5KutP0,https://open.spotify.com/artist/7G0UdhtXkdKanSod5KutP0,5241,2026-06-29T19:38:38+00:00,Spotify public artist page,
M056,Jorn,5SaDyTQkjAAdrsmhPzrmw2,https://open.spotify.com/artist/5SaDyTQkjAAdrsmhPzrmw2,273300,2026-06-29T19:38:38+00:00,Spotify public artist page,
M057,Communic,56w3AIFmUXAMlij4gvgEMF,https://open.spotify.com/artist/56w3AIFmUXAMlij4gvgEMF,3125,2026-06-29T19:38:38+00:00,Spotify public artist page,
M058,Volbeat,0L5fC7Ogm2YwgqVCRcF1bT,https://open.spotify.com/artist/0L5fC7Ogm2YwgqVCRcF1bT,4886124,2026-06-29T19:38:38+00:00,Spotify public artist page,
M059,Iron Fire,2wUYahgemhGsBv9a51NfTn,https://open.spotify.com/artist/2wUYahgemhGsBv9a51NfTn,7492,2026-06-29T19:38:38+00:00,Spotify public artist page,
M060,Pyramaze,23jSIm8VfKV2HaQJtfR3PK,https://open.spotify.com/artist/23jSIm8VfKV2HaQJtfR3PK,31204,2026-06-29T19:38:38+00:00,Spotify public artist page,
M061,Iron Mask,4fHO1843WfhVrQkRKO555M,https://open.spotify.com/artist/4fHO1843WfhVrQkRKO555M,15670,2026-06-29T19:38:38+00:00,Spotify public artist page,
M062,Fireforce,51hq2WvXCCc1z4ygbN4FFV,https://open.spotify.com/artist/51hq2WvXCCc1z4ygbN4FFV,1479,2026-06-29T19:38:38+00:00,Spotify public artist page,
M063,Existance,75G0mByTO4R4eFmYdJs6ax,https://open.spotify.com/artist/75G0mByTO4R4eFmYdJs6ax,1552,2026-06-29T19:38:38+00:00,Spotify public artist page,
M064,Sortilège,2mUthKsZa1UWKvbAcJWQ2U,https://open.spotify.com/artist/2mUthKsZa1UWKvbAcJWQ2U,14158,2026-06-29T19:38:38+00:00,Spotify public artist page,
M065,Attick Demons,5mf3WLEtrRlKH453i2mgXk,https://open.spotify.com/artist/5mf3WLEtrRlKH453i2mgXk,835,2026-06-29T19:38:38+00:00,Spotify public artist page,
M066,Trooper,3nQoVVNwutGfczOpMK7HTd,https://open.spotify.com/artist/3nQoVVNwutGfczOpMK7HTd,12617,2026-06-29T19:38:38+00:00,Spotify public artist page,
M067,Pentagram,1Xz8iP9Dvl5uI88iraOhs7,https://open.spotify.com/artist/1Xz8iP9Dvl5uI88iraOhs7,198966,2026-06-29T19:38:38+00:00,Spotify public artist page,
M068,Aria,0ICn3Cbc4mMeLmTvwnqXYu,https://open.spotify.com/artist/0ICn3Cbc4mMeLmTvwnqXYu,183691,2026-06-29T19:38:38+00:00,Spotify public artist page,
M069,Epidemia,7GQkGMp7NcATMCru95ES3N,https://open.spotify.com/artist/7GQkGMp7NcATMCru95ES3N,15174,2026-06-29T19:38:38+00:00,Spotify public artist page,
M070,Sunrise,5KoM1czSEh1VGnySR3h2n4,https://open.spotify.com/artist/5KoM1czSEh1VGnySR3h2n4,4515,2026-06-29T19:38:38+00:00,Spotify public artist page,
M071,Agora,6rYc6WImdfhd7wtSFp1jb3,https://open.spotify.com/artist/6rYc6WImdfhd7wtSFp1jb3,11477,2026-06-29T19:38:38+00:00,Spotify public artist page,
M072,Helker,73UaCOx7zJtZ8HlEjTnb0Z,https://open.spotify.com/artist/73UaCOx7zJtZ8HlEjTnb0Z,8520,2026-06-29T19:38:38+00:00,Spotify public artist page,
M073,Deadline,2SQva0Fk9JucHzy3TA8tO9,https://open.spotify.com/artist/2SQva0Fk9JucHzy3TA8tO9,214,2026-06-29T19:38:38+00:00,Spotify public artist page,
M074,Skinflint,76MMXRm4VwkwlptuOPeRX1,https://open.spotify.com/artist/76MMXRm4VwkwlptuOPeRX1,385,2026-06-29T19:38:38+00:00,Spotify public artist page,
M075,Arka'n Asrafokor,6l8FgxcVWdqGn25uZY2rgY,https://open.spotify.com/artist/6l8FgxcVWdqGn25uZY2rgY,6616,2026-06-29T19:38:38+00:00,Spotify public artist page,
M076,Emerald,4w0gX7zcZG18e8yqvXoUKL,https://open.spotify.com/artist/4w0gX7zcZG18e8yqvXoUKL,316,2026-06-29T19:38:38+00:00,Spotify public artist page,
M077,Dragony,4ZGFYwFpBWxq6FxqilvRJT,https://open.spotify.com/artist/4ZGFYwFpBWxq6FxqilvRJT,31321,2026-06-29T19:38:38+00:00,Spotify public artist page,
M079,Power Paladin,2jkaoO6BDX0QvewdjxRSvB,https://open.spotify.com/artist/2jkaoO6BDX0QvewdjxRSvB,11698,2026-06-29T19:38:38+00:00,Spotify public artist page,
M080,Arrayan Path,4i1kDUJkz1Md0NK9iyLuAD,https://open.spotify.com/artist/4i1kDUJkz1Md0NK9iyLuAD,522,2026-06-29T19:38:38+00:00,Spotify public artist page,
M081,Eagleheart,1AJYEp0lejGrqWQsp2bHgW,https://open.spotify.com/artist/1AJYEp0lejGrqWQsp2bHgW,297,2026-06-29T19:38:38+00:00,Spotify public artist page,
M082,Within Silence,3qeklOq9OkE7FdJB0rjgXY,https://open.spotify.com/artist/3qeklOq9OkE7FdJB0rjgXY,5016,2026-06-29T19:38:38+00:00,Spotify public artist page,
M083,Wisdom,2Uvj75EFUSbO45dqL4SDpw,https://open.spotify.com/artist/2Uvj75EFUSbO45dqL4SDpw,9895,2026-06-29T19:38:38+00:00,Spotify public artist page,
M084,Exlibris,3w8AGJIJV3eAHw6cCZiFjb,https://open.spotify.com/artist/3w8AGJIJV3eAHw6cCZiFjb,742,2026-06-29T19:38:38+00:00,Spotify public artist page,
