platform,week_number,user_number,playlist_song_count,valid_popularity_count,missing_popularity_count,popularity_coverage,median_popularity,mean_popularity,geometric_mean_popularity,median_log10_plus1,median_log10_delta_vs_balanced,median_ratio_vs_balanced,median_original_pool_percentile,mean_original_pool_percentile,share_above_balanced_median,share_above_balanced_max,share_low_tier,share_buffer_tier,share_middle_tier,share_high_tier
YouTube,3,1,30,30,0,1.0,887332.5,136535689.83333334,1540799.202260492,5.947439576158564,1.133191980426643,13.609409509202454,72.891566,75.46184736666666,1.0,0.1,0.0,0.26666666666666666,0.26666666666666666,0.4666666666666667
YouTube,3,2,30,30,0,1.0,3670124.5,59414247.56666667,5035700.452967737,6.564661402916924,1.7504138071850037,56.29026840490798,84.939759,83.81526103333333,0.9666666666666667,0.36666666666666664,0.03333333333333333,0.26666666666666666,0.0,0.7
YouTube,3,3,30,30,0,1.0,1507489.0,40578960.56666667,1959736.330268325,6.178016581370713,1.3637689856387927,23.12101226993865,78.915663,77.4899598,0.9666666666666667,0.23333333333333334,0.03333333333333333,0.23333333333333334,0.16666666666666666,0.5666666666666667
YouTube,3,4,30,30,0,1.0,6326235.5,84565128.3,4717483.131339461,6.801145124620025,1.9868975288881048,97.02816717791411,92.168675,83.51405616666666,0.9666666666666667,0.4,0.0,0.16666666666666666,0.16666666666666666,0.6666666666666666
YouTube,3,5,30,30,0,1.0,10751914.0,148160654.46666667,8762592.320372416,7.0108530490441145,2.196605453312194,164.9066717791411,92.7710845,86.96787143333331,0.9333333333333333,0.4666666666666667,0.0,0.1,0.13333333333333333,0.7666666666666667
YouTube,3,6,30,30,0,1.0,10056242.0,216654880.9,7408406.903628836,6.997449886815952,2.1832022910840316,154.23685582822085,92.7710845,83.9357429,0.9,0.4666666666666667,0.0,0.2,0.13333333333333333,0.6666666666666666
YouTube,3,7,30,30,0,1.0,1054599.5,7256018.166666667,925891.1364210512,6.005779472682304,1.1915318769503833,16.17485429447853,74.69879499999999,73.21285133333335,0.9333333333333333,0.13333333333333333,0.03333333333333333,0.06666666666666667,0.4,0.5
YouTube,3,8,30,30,0,1.0,575326.5,11174603.3,782309.8661217588,5.75991059728408,0.945663001552159,8.824041411042945,71.686747,71.1646586,0.8666666666666667,0.16666666666666666,0.0,0.36666666666666664,0.26666666666666666,0.36666666666666664
YouTube,3,9,30,30,0,1.0,1242929.0,6227870.966666667,1302397.958257548,6.080566733176318,1.2663191374443974,19.06334355828221,75.9036145,76.34538156666666,0.9333333333333333,0.1,0.03333333333333333,0.3333333333333333,0.13333333333333333,0.5
YouTube,3,10,30,30,0,1.0,347369.5,25990180.7,728955.677010384,5.539813466665068,0.7255658709331474,5.327768404907975,66.2650605,70.62249,0.9,0.13333333333333333,0.0,0.1,0.4666666666666667,0.43333333333333335
YouTube,4,1,30,30,0,1.0,1510403.0,9211106.466666667,1587251.8383983679,6.178124964323544,1.3638773685916235,23.165705521472393,78.915663,77.75100406666665,0.9666666666666667,0.16666666666666666,0.0,0.26666666666666666,0.2,0.5333333333333333
YouTube,4,2,30,30,0,1.0,1435128.0,48683284.96666667,1332771.409914858,6.156565963862937,1.3423183681310156,22.011180981595093,78.313253,74.71887553333335,0.8666666666666667,0.16666666666666666,0.03333333333333333,0.23333333333333334,0.2,0.5333333333333333
YouTube,4,3,30,30,0,1.0,1318518.0,5793008.8,1063043.7656640392,6.116354663978239,1.3021070682463183,20.222684049079756,77.10843399999999,75.02008036666668,0.9666666666666667,0.1,0.0,0.23333333333333334,0.23333333333333334,0.5333333333333333
YouTube,4,4,30,30,0,1.0,3725138.0,53749123.36666667,2886439.0715402123,6.571138280511208,1.7568906847792882,57.13403374233129,84.939759,80.86345379999999,0.9666666666666667,0.3,0.0,0.2,0.2,0.6
YouTube,4,5,30,30,0,1.0,1356162.5,47911101.46666667,1600931.4609077487,6.127054403071568,1.3128068073396482,20.800053680981595,77.10843399999999,76.9678714333333,0.9,0.13333333333333333,0.0,0.3333333333333333,0.13333333333333333,0.5333333333333333
YouTube,4,6,30,30,0,1.0,1635534.5,29559936.1,2142817.819631796,6.212788781602525,1.3985411858706045,25.084900306748466,79.51807249999999,78.4538152,0.9,0.23333333333333334,0.0,0.2,0.26666666666666666,0.5333333333333333
YouTube,4,7,30,30,0,1.0,3005273.5,48856076.4,3100087.4568295404,6.467904135936159,1.653656540204238,46.09316717791411,83.7349395,82.06827303333333,0.9666666666666667,0.16666666666666666,0.0,0.26666666666666666,0.1,0.6333333333333333
YouTube,4,8,30,30,0,1.0,562510.0,2603533.2333333334,509701.0243247843,5.744872315825598,0.9306247200936775,8.627469325153374,71.084337,68.83534126666667,0.8333333333333334,0.06666666666666667,0.0,0.36666666666666664,0.3333333333333333,0.3
