platform,week_number,week_label,is_balanced_reference,user_playlist_count,user_playlist_count_meeting_coverage,user_playlist_count_excluded_low_coverage,song_count,valid_popularity_count,missing_popularity_count,popularity_coverage,pooled_median_popularity,pooled_mean_popularity,pooled_geometric_mean_popularity,pooled_median_ratio_vs_balanced,pooled_median_original_pool_percentile,mean_user_median_original_pool_percentile,mean_user_median_percentile_ci95_low,mean_user_median_percentile_ci95_high,pooled_share_above_balanced_median,mean_user_share_above_balanced_median,mean_user_share_above_median_ci95_low,mean_user_share_above_median_ci95_high,pooled_share_above_balanced_max,pooled_share_low_tier,pooled_share_buffer_tier,pooled_share_middle_tier,pooled_share_high_tier
YouTube,0,Balanced playlist,True,1,1,0,30,30,0,1.0,65199.0,1930104.1333333333,78985.37217286247,1.0,51.807229,51.807229,51.807229,51.807229,0.5,0.5,0.5,0.5,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
YouTube,3,Week 3,False,10,10,0,300,300,0,1.0,1664007.5,73655823.47666667,2241535.2538897526,25.521602760736197,79.51807249999999,80.3012049,74.69879525,85.90361455,0.9366666666666666,0.9366666666666668,0.9133333333333334,0.96,0.25666666666666665,0.013333333333333334,0.21,0.21333333333333335,0.5633333333333334
YouTube,4,Week 4,False,10,10,0,300,300,0,1.0,2179160.5,49258535.593333334,2515593.2163835615,33.422722392638036,81.325301,82.2289157,77.71084354875,87.41114471499998,0.9366666666666666,0.9366666666666668,0.9033333333333333,0.97,0.23666666666666666,0.0033333333333333335,0.22333333333333333,0.17333333333333334,0.6
YouTube,5,Week 5,False,10,10,0,300,300,0,1.0,2298520.0,72944558.11333333,3052125.2906967676,35.253389570552145,81.92771049999999,83.13253019999999,77.77108439999999,88.2530122,0.9566666666666667,0.9566666666666667,0.9266666666666667,0.9833333333333334,0.26666666666666666,0.0,0.21666666666666667,0.15333333333333332,0.63
YouTube,6,Week 6,False,10,10,0,300,300,0,1.0,1563296.5,70647329.93333334,1972566.8517135608,23.976955521472394,78.915663,79.09638550000001,74.3975903,83.91566264999999,0.9533333333333334,0.9533333333333334,0.9133333333333333,0.9833333333333334,0.18666666666666668,0.016666666666666666,0.2633333333333333,0.17,0.55
