platform,week_number,week_label,reference,playlist_count,song_count,missing_popularity_count,median_popularity,mean_popularity,median_log10_popularity,median_log10_delta_vs_balanced,median_ratio_vs_balanced,median_balanced_percentile,mean_balanced_percentile,share_above_balanced_median,share_low_tier,share_middle_tier,share_high_tier,balanced_median_popularity
Spotify,0,Week 0 · balanced playlist,True,1,30,0,30091.0,1672852.7666666666,4.478139338658135,0.0,1.0,50.0,50.0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,30091.0
Spotify,3,Week 3,False,10,300,0,167000.0,397792.00666666665,5.222716471147583,0.7442798504641503,5.5498321757336075,63.3333,61.27778300000001,0.8133333333333334,0.0,0.6133333333333333,0.38666666666666666,30091.0
Spotify,4,Week 4,False,10,300,0,117639.0,373707.06333333335,5.070149841040639,0.5917132203572057,3.9058289524569947,63.3333,58.41111566666667,0.7166666666666667,0.0,0.6433333333333333,0.3566666666666667,30091.0
Spotify,5,Week 5,False,10,300,0,194015.0,477732.28,5.287835308102368,0.809398687418935,6.447608919610515,63.3333,61.91111466666666,0.82,0.016666666666666666,0.5733333333333334,0.41,30091.0
Spotify,6,Week 6,False,10,300,0,168825.0,401255.98333333334,5.22743675839222,0.7490001377087872,5.610481539330697,63.3333,62.500004999999994,0.8833333333333333,0.0,0.6266666666666667,0.37333333333333335,30091.0
YouTube,0,Week 0 · balanced playlist,True,1,30,0,65199.0,1930104.1333333333,4.814219747922499,0.0,1.0,50.0,50.0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,65199.0
YouTube,3,Week 3,False,10,300,0,1664007.5,73655823.47666667,6.220803410359407,1.4065624756368793,25.501309116950928,75.0,76.58889466666668,0.9366666666666666,0.02,0.30666666666666664,0.6733333333333333,65199.0
YouTube,4,Week 4,False,10,300,0,2179160.5,49258535.593333334,6.338248556232383,1.5240076215098557,33.4200904924811,76.6667,77.37778433333332,0.9366666666666666,0.01,0.25333333333333335,0.7366666666666667,65199.0
YouTube,5,Week 5,False,10,300,0,2298520.0,72944558.11333333,6.361216300834206,1.546975366111679,35.23508845612588,76.6667,79.311118,0.9566666666666667,0.01,0.24666666666666667,0.7433333333333333,65199.0
YouTube,6,Week 6,False,10,275,25,1305581.0,66546745.30909091,6.115803821208194,1.3015628864856668,20.02455559134342,70.0,74.94546654545455,0.9490909090909091,0.02909090909090909,0.2727272727272727,0.6981818181818182,65199.0
