row_type,platform,week_number,week_label,week_folder,user_number,user_label,captured_at_utc,capture_date,playlist_name,playlist_id,playlist_url,playlist_position,video_id,track_id,track_name,artist_name,artist_ids,artist_names,album_name,duration_seconds,duration_display,popularity_metric,popularity_metric_scope,youtube_url,youtube_music_url,view_count,view_count_source,view_rank_within_playlist_desc,view_percentile_within_playlist,youtube_artist_subscribers_approx,youtube_artist_subscribers_display,youtube_artist_channel_views,video_type,is_explicit_track,popularity_video_version_note,source_original_pool_percentile,source_original_pool_tier,exact_final_playlist_track_repeat,source_file,source_file_row,popularity_value,popularity_display,popularity_log10,popularity_available,final_playlist_percentile_30,final_playlist_tier_30,above_final_playlist_median,above_final_playlist_top_third_cutoff,above_final_playlist_max,original_candidate_pool_percentile_83,original_candidate_pool_rank_tier_83,popularity_log10_plus1,original_candidate_pool_reference_size,popularity_measurement_at_utc,metadata_repaired_at_utc
final_balanced_baseline,Youtube,0,Final Balanced Playlist,experiment_setup,,Baseline,,,final_balanced_playlist,,,11,8EELvJAEmIc,8EELvJAEmIc,Better Late Than Never,Skull Fist,,Skull Fist,,,,youtube_video_view_count,song_video,https://music.youtube.com/watch?v=8EELvJAEmIc,,29668.0,,,,,,,,,,45.18,Middle,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,12,29668.0,"29,668 views",4.472288,True,40.0,Middle,False,False,False,45.180723,Middle,4.472303,83,,
final_balanced_baseline,Youtube,0,Final Balanced Playlist,experiment_setup,,Baseline,,,final_balanced_playlist,,,12,3G3hBjV6R60,3G3hBjV6R60,Like Orpheus,Orphaned Land,,Orphaned Land,,,,youtube_video_view_count,song_video,https://music.youtube.com/watch?v=3G3hBjV6R60,,129774.0,,,,,,,,,,57.23,Middle,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,13,129774.0,"129,774 views",5.113188,True,56.6667,Middle,True,False,False,57.228916,Middle,5.113191,83,,
final_balanced_baseline,Youtube,0,Final Balanced Playlist,experiment_setup,,Baseline,,,final_balanced_playlist,,,13,AW3lGArBDMs,AW3lGArBDMs,Warrior Queen,Visigoth,,Visigoth,,,,youtube_video_view_count,song_video,https://music.youtube.com/watch?v=AW3lGArBDMs,,161571.0,,,,,,,,,,58.43,Middle,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,14,161571.0,"161,571 views",5.208363,True,60.0,Middle,True,False,False,58.433735,Middle,5.208366,83,,
final_balanced_baseline,Youtube,0,Final Balanced Playlist,experiment_setup,,Baseline,,,final_balanced_playlist,,,14,183PB-W2FB4,183PB-W2FB4,Angel of Revenge,Vision Divine,,Vision Divine,,,,youtube_video_view_count,song_video,https://music.youtube.com/watch?v=183PB-W2FB4,,203378.0,,,,,,,,,,60.84,Middle,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,15,203378.0,"203,378 views",5.308304,True,66.6667,Middle,True,False,False,60.843373,Middle,5.308306,83,,
final_balanced_baseline,Youtube,0,Final Balanced Playlist,experiment_setup,,Baseline,,,final_balanced_playlist,,,15,IVSlnryCW7s,IVSlnryCW7s,Hellphoria,Exlibris,,Exlibris,,,,youtube_video_view_count,song_video,https://music.youtube.com/watch?v=IVSlnryCW7s,,1423.0,,,,,,,,,,10.24,Low,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,16,1423.0,"1,423 views",3.153205,True,13.3333,Low,False,False,False,10.240964,Low,3.15351,83,,
final_balanced_baseline,Youtube,0,Final Balanced Playlist,experiment_setup,,Baseline,,,final_balanced_playlist,,,16,FnGWUPTT9vk,FnGWUPTT9vk,The Devil's Doll,Carthagods,,Carthagods,,,,youtube_video_view_count,song_video,https://music.youtube.com/watch?v=FnGWUPTT9vk,,1797.0,,,,,,,,,,13.86,Low,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,17,1797.0,"1,797 views",3.254548,True,20.0,Low,False,False,False,13.855422,Low,3.25479,83,,
final_balanced_baseline,Youtube,0,Final Balanced Playlist,experiment_setup,,Baseline,,,final_balanced_playlist,,,17,Lm9xUURZJ6k,Lm9xUURZJ6k,Flesh Potion,Skinflint,,Skinflint,,,,youtube_video_view_count,song_video,https://music.youtube.com/watch?v=Lm9xUURZJ6k,,863.0,,,,,,,,,,7.83,Low,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,18,863.0,863 views,2.936011,True,6.6667,Low,False,False,False,7.831325,Low,2.936514,83,,
final_balanced_baseline,Youtube,0,Final Balanced Playlist,experiment_setup,,Baseline,,,final_balanced_playlist,,,18,CxTRjHDxL4w,CxTRjHDxL4w,Stigmata,Arrayan Path,,Arrayan Path,,,,youtube_video_view_count,song_video,https://music.youtube.com/watch?v=CxTRjHDxL4w,,1955.0,,,,,,,,,,15.06,Low,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,19,1955.0,"1,955 views",3.291147,True,23.3333,Low,False,False,False,15.060241,Low,3.291369,83,,
final_balanced_baseline,Youtube,0,Final Balanced Playlist,experiment_setup,,Baseline,,,final_balanced_playlist,,,19,U20b7be3zO8,U20b7be3zO8,Reverse,Eagleheart,,Eagleheart,,,,youtube_video_view_count,song_video,https://music.youtube.com/watch?v=U20b7be3zO8,,1241.0,,,,,,,,,,9.04,Low,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,20,1241.0,"1,241 views",3.093772,True,10.0,Low,False,False,False,9.036145,Low,3.094122,83,,
final_balanced_baseline,Youtube,0,Final Balanced Playlist,experiment_setup,,Baseline,,,final_balanced_playlist,,,20,DAV2A8R2x1w,DAV2A8R2x1w,City of Golden Gates,Attick Demons,,Attick Demons,,,,youtube_video_view_count,song_video,https://music.youtube.com/watch?v=DAV2A8R2x1w,,2445.0,,,,,,,,,,17.47,Low,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,21,2445.0,"2,445 views",3.388279,True,26.6667,Low,False,False,False,17.46988,Low,3.388456,83,,
