row_type,platform,week_number,week_label,week_folder,user_number,user_label,captured_at_utc,capture_date,playlist_name,playlist_id,playlist_url,playlist_position,track_id,track_name,artist_name,artist_ids,artist_names,album_name,duration_seconds,duration_display,popularity_metric,popularity_metric_scope,spotify_track_api_popularity,spotify_artist_api_popularity,spotify_artist_followers_total,spotify_artist_monthly_listeners,spotify_artist_monthly_listeners_display,spotify_url,artist_url,album_url,isrc,explicit,source_original_pool_percentile,source_original_pool_tier,exact_final_playlist_track_repeat,source_file,source_file_row,popularity_value,popularity_display,popularity_log10,popularity_available,final_playlist_percentile_30,final_playlist_tier_30,above_final_playlist_median,above_final_playlist_top_third_cutoff,above_final_playlist_max,original_candidate_pool_percentile_83,original_candidate_pool_rank_tier_83,popularity_log10_plus1,original_candidate_pool_reference_size
final_balanced_baseline,Spotify,0,Final Balanced Playlist,experiment_setup,,Baseline,2026-06-29T19:38:38+00:00,2026-06-29,final_balanced_playlist,,,1,6O3eQ6rVO2wOptHkAfWNEL,Combat Metal,Fireforce,,Fireforce,,,,spotify_artist_monthly_listeners,artist,,,,1479,,https://open.spotify.com/track/6O3eQ6rVO2wOptHkAfWNEL,,,DET271214403,,12.65,Low,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,2,1479,"1,479 monthly listeners",3.169968,True,23.3333,Low,False,False,False,12.650602,Low,3.170262,83
final_balanced_baseline,Spotify,0,Final Balanced Playlist,experiment_setup,,Baseline,2026-06-29T19:38:38+00:00,2026-06-29,final_balanced_playlist,,,2,6qCGoSR3V84W2pukqjC9rL,Starbreaker,Traveler,,Traveler,,,,spotify_artist_monthly_listeners,artist,,,,5241,,https://open.spotify.com/track/6qCGoSR3V84W2pukqjC9rL,,,ITI291901101,,23.49,Low,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,3,5241,"5,241 monthly listeners",3.719414,True,33.3333,Low,False,False,False,23.493976,Low,3.719497,83
final_balanced_baseline,Spotify,0,Final Balanced Playlist,experiment_setup,,Baseline,2026-06-29T19:38:38+00:00,2026-06-29,final_balanced_playlist,,,3,4tIMFWs6e4BMCsudGF7JQL,Messager - 2021,Sortilège,,Sortilège,,,,spotify_artist_monthly_listeners,artist,,,,14158,,https://open.spotify.com/track/4tIMFWs6e4BMCsudGF7JQL,,,FR7Z82100061,,40.36,Middle,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,4,14158,"14,158 monthly listeners",4.151002,True,36.6667,Middle,False,False,False,40.361446,Middle,4.151033,83
final_balanced_baseline,Spotify,0,Final Balanced Playlist,experiment_setup,,Baseline,2026-06-29T19:38:38+00:00,2026-06-29,final_balanced_playlist,,,4,73VDhH8TvIIIeps0RuqXaf,World on Fire,Firewind,,Firewind,,,,spotify_artist_monthly_listeners,artist,,,,107557,,https://open.spotify.com/track/73VDhH8TvIIIeps0RuqXaf,,,US4E41067702,,57.23,Middle,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,5,107557,"107,557 monthly listeners",5.031639,True,63.3333,Middle,True,False,False,57.228916,Middle,5.031643,83
final_balanced_baseline,Spotify,0,Final Balanced Playlist,experiment_setup,,Baseline,2026-06-29T19:38:38+00:00,2026-06-29,final_balanced_playlist,,,5,6oYAAgSsy3A5167QZl6Zb5,Rome Is Falling,Civil War,,Civil War,,,,spotify_artist_monthly_listeners,artist,,,,68031,,https://open.spotify.com/track/6oYAAgSsy3A5167QZl6Zb5,,,SEXTE1202101,,53.61,Middle,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,6,68031,"68,031 monthly listeners",4.832707,True,60.0,Middle,True,False,False,53.614458,Middle,4.832713,83
final_balanced_baseline,Spotify,0,Final Balanced Playlist,experiment_setup,,Baseline,2026-06-29T19:38:38+00:00,2026-06-29,final_balanced_playlist,,,6,11DYAaYg2bXqa2Vr8OpS4z,Geçmişin Yükü,Pentagram,,Pentagram,,,,spotify_artist_monthly_listeners,artist,,,,198966,,https://open.spotify.com/track/11DYAaYg2bXqa2Vr8OpS4z,,,TRA161200036,,62.05,Middle,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,7,198966,"198,966 monthly listeners",5.298779,True,66.6667,Middle,True,False,False,62.048193,Middle,5.298781,83
final_balanced_baseline,Spotify,0,Final Balanced Playlist,experiment_setup,,Baseline,2026-06-29T19:38:38+00:00,2026-06-29,final_balanced_playlist,,,7,5lsqw3b9RryGa7NrhvdrMi,Skyfall,Helloween,,Helloween,,,,spotify_artist_monthly_listeners,artist,,,,1442999,,https://open.spotify.com/track/5lsqw3b9RryGa7NrhvdrMi,,,DED832001268,,88.55,High,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,8,1442999,"1,442,999 monthly listeners",6.159266,True,83.3333,High,True,True,False,88.554217,High,6.159266,83
final_balanced_baseline,Spotify,0,Final Balanced Playlist,experiment_setup,,Baseline,2026-06-29T19:38:38+00:00,2026-06-29,final_balanced_playlist,,,8,0ViETXmkc9BrgimhkqREGr,Thunderbolt,Saxon,,Saxon,,,,spotify_artist_monthly_listeners,artist,,,,472829,,https://open.spotify.com/track/0ViETXmkc9BrgimhkqREGr,,,UKKY81700135,,75.3,High,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,9,472829,"472,829 monthly listeners",5.674704,True,70.0,High,True,True,False,75.301205,High,5.674705,83
final_balanced_baseline,Spotify,0,Final Balanced Playlist,experiment_setup,,Baseline,2026-06-29T19:38:38+00:00,2026-06-29,final_balanced_playlist,,,9,15y18CCQL1zxTjZHB4xdJU,Disciples of the Sun,Pyramaze,,Pyramaze,,,,spotify_artist_monthly_listeners,artist,,,,31204,,https://open.spotify.com/track/15y18CCQL1zxTjZHB4xdJU,,,TCACF1554666,,51.2,Middle,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,10,31204,"31,204 monthly listeners",4.49421,True,53.3333,Middle,True,False,False,51.204819,Middle,4.494224,83
final_balanced_baseline,Spotify,0,Final Balanced Playlist,experiment_setup,,Baseline,2026-06-29T19:38:38+00:00,2026-06-29,final_balanced_playlist,,,10,2YQDtovUXJ2zfPldc9mZzy,If It Bleeds We Can Kill It,Dragony,,Dragony,,,,spotify_artist_monthly_listeners,artist,,,,31321,,https://open.spotify.com/track/2YQDtovUXJ2zfPldc9mZzy,,,DET271817202,,52.41,Middle,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,11,31321,"31,321 monthly listeners",4.495836,True,56.6667,Middle,True,False,False,52.409639,Middle,4.495849,83
final_balanced_baseline,Spotify,0,Final Balanced Playlist,experiment_setup,,Baseline,2026-06-29T19:38:38+00:00,2026-06-29,final_balanced_playlist,,,11,1RtW5EA4LO7nZHrgmgxCnJ,Better Late Than Never,Skull Fist,,Skull Fist,,,,spotify_artist_monthly_listeners,artist,,,,27621,,https://open.spotify.com/track/1RtW5EA4LO7nZHrgmgxCnJ,,,ATN261807207,,48.8,Middle,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,12,27621,"27,621 monthly listeners",4.441239,True,46.6667,Middle,False,False,False,48.795181,Middle,4.441255,83
final_balanced_baseline,Spotify,0,Final Balanced Playlist,experiment_setup,,Baseline,2026-06-29T19:38:38+00:00,2026-06-29,final_balanced_playlist,,,12,2xT6dOB9HTQgP4WoR5ByI2,Like Orpheus,Orphaned Land,,Orphaned Land,,,,spotify_artist_monthly_listeners,artist,,,,28978,,https://open.spotify.com/track/2xT6dOB9HTQgP4WoR5ByI2,,,US4E41848607,,50.0,Middle,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,13,28978,"28,978 monthly listeners",4.462068,True,50.0,Middle,False,False,False,50.0,Middle,4.462083,83
final_balanced_baseline,Spotify,0,Final Balanced Playlist,experiment_setup,,Baseline,2026-06-29T19:38:38+00:00,2026-06-29,final_balanced_playlist,,,13,6bzEx9m1sOsY2WgAjPjcVX,Warrior Queen,Visigoth,,Visigoth,,,,spotify_artist_monthly_listeners,artist,,,,24956,,https://open.spotify.com/track/6bzEx9m1sOsY2WgAjPjcVX,,,USMBR1812841,,46.39,Middle,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,14,24956,"24,956 monthly listeners",4.397175,True,40.0,Middle,False,False,False,46.385542,Middle,4.397192,83
final_balanced_baseline,Spotify,0,Final Balanced Playlist,experiment_setup,,Baseline,2026-06-29T19:38:38+00:00,2026-06-29,final_balanced_playlist,,,14,4ktpjpQSF5GeX03fzd06EJ,Angel of Revenge,Vision Divine,,Vision Divine,,,,spotify_artist_monthly_listeners,artist,,,,25610,,https://open.spotify.com/track/4ktpjpQSF5GeX03fzd06EJ,,,DEAR41838004,,47.59,Middle,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,15,25610,"25,610 monthly listeners",4.40841,True,43.3333,Middle,False,False,False,47.590361,Middle,4.408427,83
final_balanced_baseline,Spotify,0,Final Balanced Playlist,experiment_setup,,Baseline,2026-06-29T19:38:38+00:00,2026-06-29,final_balanced_playlist,,,15,4ZCE9a3407wu9FG2i8baFE,Hellphoria,Exlibris,,Exlibris,,,,spotify_artist_monthly_listeners,artist,,,,742,,https://open.spotify.com/track/4ZCE9a3407wu9FG2i8baFE,,,PLA641308724,,10.24,Low,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,16,742,742 monthly listeners,2.870404,True,16.6667,Low,False,False,False,10.240964,Low,2.870989,83
final_balanced_baseline,Spotify,0,Final Balanced Playlist,experiment_setup,,Baseline,2026-06-29T19:38:38+00:00,2026-06-29,final_balanced_playlist,,,16,5aI2EF6gFKSdqW1bEHQFcb,The Devil's Doll,Carthagods,,Carthagods,,,,spotify_artist_monthly_listeners,artist,,,,640,,https://open.spotify.com/track/5aI2EF6gFKSdqW1bEHQFcb,,,usl4r1823032,,9.04,Low,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,17,640,640 monthly listeners,2.80618,True,13.3333,Low,False,False,False,9.036145,Low,2.806858,83
