platform,week_number,user_number,playlist_song_count,valid_popularity_count,missing_popularity_count,popularity_coverage,median_popularity,mean_popularity,geometric_mean_popularity,median_log10_plus1,median_log10_delta_vs_balanced,median_ratio_vs_balanced,median_original_pool_percentile,mean_original_pool_percentile,share_above_balanced_median,share_above_balanced_max,share_low_tier,share_buffer_tier,share_middle_tier,share_high_tier
Spotify,3,1,30,30,0,1.0,197739.0,391807.3333333333,186840.2970990517,5.293255599314677,0.8148045461675268,6.571181709424431,62.0481925,65.82329323333333,0.8333333333333334,0.0,0.0,0.2,0.5,0.3
Spotify,3,2,30,30,0,1.0,205105.0,546866.3,234398.34771517967,5.310787234576482,0.8323361814293317,6.815964375913864,62.650602,67.42971886666668,0.8666666666666667,0.0,0.0,0.13333333333333333,0.5,0.36666666666666664
Spotify,3,3,30,30,0,1.0,190769.5,584618.0333333333,218953.18600380077,5.279060564511212,0.8006095113640623,6.339575302405955,62.0481925,66.62650603333333,0.8666666666666667,0.0,0.0,0.2,0.5,0.3
Spotify,3,4,30,30,0,1.0,157314.5,360766.1666666667,171757.95267732325,5.19594684572965,0.7174957925824996,5.227818024724179,59.638554,65.22088360000001,0.8333333333333334,0.0,0.0,0.16666666666666666,0.5333333333333333,0.3
Spotify,3,5,30,30,0,1.0,167811.0,464907.3333333333,178947.28786026782,5.224817941672773,0.7463668885256234,5.576631662900438,59.638554,64.53815259999998,0.8666666666666667,0.0,0.0,0.16666666666666666,0.6,0.23333333333333334
Spotify,3,6,30,30,0,1.0,104536.5,252266.03333333333,104777.61625775232,5.019253470562079,0.5408024174149282,3.473929948158979,57.228916,60.24096386666667,0.7,0.0,0.0,0.16666666666666666,0.6666666666666666,0.16666666666666666
Spotify,3,7,30,30,0,1.0,157314.5,418019.06666666665,174275.744026682,5.19594684572965,0.7174957925824996,5.227818024724179,59.638554,64.93975906666668,0.8666666666666667,0.0,0.0,0.16666666666666666,0.5666666666666667,0.26666666666666666
Spotify,3,8,30,30,0,1.0,157314.5,394968.0333333333,154650.28025138308,5.19594684572965,0.7174957925824996,5.227818024724179,59.638554,63.6947791,0.8,0.0,0.0,0.16666666666666666,0.6,0.23333333333333334
Spotify,3,9,30,30,0,1.0,150401.0,381674.3333333333,172567.25239966484,5.174592461286317,0.6961414081391668,4.998072577429217,59.638554,64.93975906666665,0.8333333333333334,0.0,0.0,0.13333333333333333,0.5666666666666667,0.3
Spotify,3,10,30,30,0,1.0,65817.0,182027.43333333332,80553.82190268688,4.818227462564861,0.3397764094177105,2.187225840755018,53.614458,57.79116466666666,0.6666666666666666,0.0,0.0,0.13333333333333333,0.7666666666666667,0.1
Spotify,4,1,30,30,0,1.0,144579.5,390200.7,131424.53009780284,5.1550766698390955,0.6766256166919451,4.804615844742789,59.638554,62.89156639999999,0.7,0.0,0.0,0.16666666666666666,0.5333333333333333,0.3
Spotify,4,2,30,30,0,1.0,115640.5,282070.63333333336,116918.50023490367,5.062304119669491,0.5838530665223409,3.842931676193008,59.0361445,61.5261045,0.6666666666666666,0.0,0.0,0.16666666666666666,0.5666666666666667,0.26666666666666666
Spotify,4,3,30,30,0,1.0,115640.5,463958.3,126210.74437455954,5.062304119669491,0.5838530665223409,3.842931676193008,59.0361445,61.84738966666667,0.7,0.0,0.0,0.13333333333333333,0.6,0.26666666666666666
Spotify,4,4,30,30,0,1.0,66188.0,216205.03333333333,77093.77388162972,4.8127329894120425,0.33428193626489255,2.199554698923302,54.819277,57.30923703333333,0.6,0.0,0.0,0.13333333333333333,0.7333333333333333,0.13333333333333333
