platform,week_number,week_label,is_balanced_reference,user_playlist_count,user_playlist_count_meeting_coverage,user_playlist_count_excluded_low_coverage,song_count,valid_popularity_count,missing_popularity_count,popularity_coverage,pooled_median_popularity,pooled_mean_popularity,pooled_geometric_mean_popularity,pooled_median_ratio_vs_balanced,pooled_median_original_pool_percentile,mean_user_median_original_pool_percentile,mean_user_median_percentile_ci95_low,mean_user_median_percentile_ci95_high,pooled_share_above_balanced_median,mean_user_share_above_balanced_median,mean_user_share_above_median_ci95_low,mean_user_share_above_median_ci95_high,pooled_share_above_balanced_max,pooled_share_low_tier,pooled_share_buffer_tier,pooled_share_middle_tier,pooled_share_high_tier
Spotify,0,Balanced playlist,True,1,1,0,30,30,0,1.0,30091.0,1672852.7666666666,43657.30393400576,1.0,50.6024095,50.6024095,50.6024095,50.6024095,0.5,0.5,0.5,0.5,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
Spotify,3,Week 3,False,10,10,0,300,300,0,1.0,167000.0,397792.00666666665,160817.0350627929,5.549680978333112,59.638554,59.5783131,57.8313253,60.9638552,0.8133333333333334,0.8133333333333332,0.7666666666666667,0.8500000000000002,0.0,0.0,0.16333333333333333,0.58,0.25666666666666665
Spotify,4,Week 4,False,10,10,0,300,300,0,1.0,117639.0,373707.06333333335,124227.94327527778,3.909344676325934,59.0361445,59.638554150000004,57.891566247499995,61.987951800000005,0.7166666666666667,0.7166666666666666,0.6833333333333333,0.7466666666666667,0.0,0.0,0.15666666666666668,0.5866666666666667,0.25666666666666665
Spotify,5,Week 5,False,10,10,0,300,300,0,1.0,194015.0,477732.28,175107.74211969512,6.447427887810714,62.048193,63.674698899999996,59.81777098250001,67.77108445125002,0.82,0.82,0.7833333333333334,0.8566666666666668,0.0,0.0,0.2,0.49,0.31
Spotify,6,Week 6,False,10,10,0,300,300,0,1.0,168825.0,401255.98333333334,165572.65999185032,5.610328326465506,59.638554,59.87951785,58.6746986,60.90361425,0.8833333333333333,0.8833333333333334,0.8533333333333333,0.9133333333333334,0.0,0.0,0.14,0.5766666666666667,0.2833333333333333
