snapshot_label,captured_at_utc,platform,source_account_display_name,source_account_id,playlist_name,playlist_id,playlist_url,playlist_position,playlist_added_at,playlist_added_by_id,candidate_id,research_artist,research_title,artist_origin_country_research,expected_release_year_research,genre_style_research,spotify_track_id,spotify_uri,spotify_url,spotify_title,spotify_artists,primary_artist_id,primary_artist_name,primary_artist_url,artist_monthly_listeners,artist_monthly_listeners_source,artist_monthly_listeners_fetch_error,previous_artist_monthly_listeners,previous_listener_capture_utc,monthly_listener_change,monthly_listener_change_fraction,average_monthly_listener_change_per_day,spotify_track_popularity,spotify_artist_popularity,spotify_artist_followers,spotify_track_stream_count,unavailable_popularity_fields_note,album_id,album_name,album_type,album_release_date,album_release_date_precision,album_total_tracks,album_label,album_upc,album_fetch_error,album_copyrights,spotify_isrc,duration_ms,disc_number,track_number,explicit,is_playable,is_local,selection_method,spotify_selected_tier,original_pool_spotify_percentile,original_pool_spotify_rank_tier,original_pool_spotify_log10_popularity,monthly_listeners_rank_within_playlist_desc,monthly_listeners_percentile_within_playlist,monthly_listeners_log10
week1_13july,2026-07-14T10:57:52+00:00,Spotify,Aysima Karçaaltıncaba,aaaaysimaaaa,Heavy Metal MCT,531GNQfZFLGveRbERYYUaw,https://open.spotify.com/playlist/531GNQfZFLGveRbERYYUaw,11,2026-07-03T10:35:53Z,aaaaysimaaaa,M064,Sortilège,Messager - 2021,France,2021,heavy metal,4tIMFWs6e4BMCsudGF7JQL,spotify:track:4tIMFWs6e4BMCsudGF7JQL,https://open.spotify.com/track/4tIMFWs6e4BMCsudGF7JQL,Messager - 2021,Sortilège,2mUthKsZa1UWKvbAcJWQ2U,Sortilège,https://open.spotify.com/artist/2mUthKsZa1UWKvbAcJWQ2U,12510,Spotify public artist page,,14158,2026-06-29T19:38:38+00:00,-1648,-0.11640062155671706,-112.58094459475913,,,,,"Spotify Development Mode response does not expose track popularity, artist popularity, followers, or public cumulative track streams; monthly listeners are the study proxy.",0pXc030dzigekM5jWdgYid,Phoenix,album,2021-08-27,day,14,,3760220463401,,C: 2021 Verycords; P: 2021 Verycords,FR7Z82100061,279520,1,4,False,True,False,rank,Middle,40.36,Middle,4.151033,20.0,35.0,4.09725731
week1_13july,2026-07-14T10:57:52+00:00,Spotify,Aysima Karçaaltıncaba,aaaaysimaaaa,Heavy Metal MCT,531GNQfZFLGveRbERYYUaw,https://open.spotify.com/playlist/531GNQfZFLGveRbERYYUaw,12,2026-07-03T10:35:53Z,aaaaysimaaaa,M060,Pyramaze,Disciples of the Sun,Denmark,2015,power metal,15y18CCQL1zxTjZHB4xdJU,spotify:track:15y18CCQL1zxTjZHB4xdJU,https://open.spotify.com/track/15y18CCQL1zxTjZHB4xdJU,Disciples of the Sun,Pyramaze,23jSIm8VfKV2HaQJtfR3PK,Pyramaze,https://open.spotify.com/artist/23jSIm8VfKV2HaQJtfR3PK,29454,Spotify public artist page,,31204,2026-06-29T19:38:38+00:00,-1750,-0.056082553518779645,-119.54893995195903,,,,,"Spotify Development Mode response does not expose track popularity, artist popularity, followers, or public cumulative track streams; monthly listeners are the study proxy.",0zyZmvnSiU5fXR543Hbtwk,Disciples of the Sun,album,2015-05-22,day,12,,4018996237900,,C: 2015 Inner Wound Recodings; P: 2015 Ulterium Records,TCACF1554666,234200,1,3,False,True,False,rank,Middle,51.20,Middle,4.494224,15.0,51.666667,4.469144282
week1_13july,2026-07-14T10:57:52+00:00,Spotify,Aysima Karçaaltıncaba,aaaaysimaaaa,Heavy Metal MCT,531GNQfZFLGveRbERYYUaw,https://open.spotify.com/playlist/531GNQfZFLGveRbERYYUaw,13,2026-07-03T10:35:53Z,aaaaysimaaaa,M077,Dragony,If It Bleeds We Can Kill It,Austria,2017,power metal,2YQDtovUXJ2zfPldc9mZzy,spotify:track:2YQDtovUXJ2zfPldc9mZzy,https://open.spotify.com/track/2YQDtovUXJ2zfPldc9mZzy,If It Bleeds We Can Kill It,Dragony,4ZGFYwFpBWxq6FxqilvRJT,Dragony,https://open.spotify.com/artist/4ZGFYwFpBWxq6FxqilvRJT,30472,Spotify public artist page,,31321,2026-06-29T19:38:38+00:00,-849,-0.027106414226876537,-57.998314296693266,,,,,"Spotify Development Mode response does not expose track popularity, artist popularity, followers, or public cumulative track streams; monthly listeners are the study proxy.",7l918E7VsuvHmX2BC5m3WW,Masters of the Multiverse,album,2018-10-12,day,10,,884860241922,,C: (C) 2018 Limb Music,DET271817202,272000,1,2,False,True,False,rank,Middle,52.41,Middle,4.495849,14.0,55.0,4.48390096
week1_13july,2026-07-14T10:57:52+00:00,Spotify,Aysima Karçaaltıncaba,aaaaysimaaaa,Heavy Metal MCT,531GNQfZFLGveRbERYYUaw,https://open.spotify.com/playlist/531GNQfZFLGveRbERYYUaw,14,2026-07-03T10:35:53Z,aaaaysimaaaa,M054,Skull Fist,Better Late Than Never,Canada,2018,heavy metal,1RtW5EA4LO7nZHrgmgxCnJ,spotify:track:1RtW5EA4LO7nZHrgmgxCnJ,https://open.spotify.com/track/1RtW5EA4LO7nZHrgmgxCnJ,Better Late Than Never,Skull Fist,6V6MyDcytW48stIykhH937,Skull Fist,https://open.spotify.com/artist/6V6MyDcytW48stIykhH937,27036,Spotify public artist page,,27621,2026-06-29T19:38:38+00:00,-585,-0.021179537308569567,-39.96350278394059,,,,,"Spotify Development Mode response does not expose track popularity, artist popularity, followers, or public cumulative track streams; monthly listeners are the study proxy.",3lqmkqX4LwCR0zn0240o8G,Way of the Road,album,2018-10-26,day,9,,840588158386,,C: (C) 2018 NoiseArt Records & Merchandising GmbH; P: (P) 2018 NoiseArt Records & Merchandising GmbH,ATN261807207,287173,1,7,False,True,False,rank,Middle,48.80,Middle,4.441255,17.0,45.0,4.431942438
week1_13july,2026-07-14T10:57:52+00:00,Spotify,Aysima Karçaaltıncaba,aaaaysimaaaa,Heavy Metal MCT,531GNQfZFLGveRbERYYUaw,https://open.spotify.com/playlist/531GNQfZFLGveRbERYYUaw,15,2026-07-03T10:35:53Z,aaaaysimaaaa,M046,Orphaned Land,Like Orpheus,Israel,2018,heavy metal,2xT6dOB9HTQgP4WoR5ByI2,spotify:track:2xT6dOB9HTQgP4WoR5ByI2,https://open.spotify.com/track/2xT6dOB9HTQgP4WoR5ByI2,Like Orpheus,Orphaned Land,7xTMxqAmbtE0Nce5lz7t0h,Orphaned Land,https://open.spotify.com/artist/7xTMxqAmbtE0Nce5lz7t0h,28561,Spotify public artist page,,28978,2026-06-29T19:38:38+00:00,-417,-0.014390227068810822,-28.486804548552524,,,,,"Spotify Development Mode response does not expose track popularity, artist popularity, followers, or public cumulative track streams; monthly listeners are the study proxy.",7ud8TDf12TNhUDNrlNLF4s,Unsung Prophets And Dead Messiahs,album,2018-01-26,day,13,,886446783925,,P: (P) 2018 Century Media Records Ltd.,US4E41848607,274500,1,7,False,True,False,rank,Middle,50.00,Middle,4.462083,16.0,48.333333,4.455773409
week1_13july,2026-07-14T10:57:52+00:00,Spotify,Aysima Karçaaltıncaba,aaaaysimaaaa,Heavy Metal MCT,531GNQfZFLGveRbERYYUaw,https://open.spotify.com/playlist/531GNQfZFLGveRbERYYUaw,16,2026-07-03T10:35:53Z,aaaaysimaaaa,M006,Visigoth,Warrior Queen,United States,2015,heavy metal,6bzEx9m1sOsY2WgAjPjcVX,spotify:track:6bzEx9m1sOsY2WgAjPjcVX,https://open.spotify.com/track/6bzEx9m1sOsY2WgAjPjcVX,Warrior Queen,Visigoth,36Fw8K3uH9kPWEkZilzk86,Visigoth,https://open.spotify.com/artist/36Fw8K3uH9kPWEkZilzk86,24661,Spotify public artist page,,24956,2026-06-29T19:38:38+00:00,-295,-0.01182080461612438,-20.152535591901664,,,,,"Spotify Development Mode response does not expose track popularity, artist popularity, followers, or public cumulative track streams; monthly listeners are the study proxy.",1urUbqAPjzrHcTiP4GJlFr,Conqueror's Oath,album,2018-02-09,day,8,,039841930320,,"C: (C) 2018 Metal Blade Records, Inc.; P: (P) 2018 Metal Blade Records, Inc.",USMBR1812841,328751,1,2,False,True,False,rank,Middle,46.39,Middle,4.397192,18.0,41.666667,4.392010683
week1_13july,2026-07-14T10:57:52+00:00,Spotify,Aysima Karçaaltıncaba,aaaaysimaaaa,Heavy Metal MCT,531GNQfZFLGveRbERYYUaw,https://open.spotify.com/playlist/531GNQfZFLGveRbERYYUaw,17,2026-07-03T10:35:53Z,aaaaysimaaaa,M032,Vision Divine,Angel of Revenge,Italy,2018,power metal,4ktpjpQSF5GeX03fzd06EJ,spotify:track:4ktpjpQSF5GeX03fzd06EJ,https://open.spotify.com/track/4ktpjpQSF5GeX03fzd06EJ,Angel of Revenge,Vision Divine,5L6lO4X5v3GJpTkBg1BdW2,Vision Divine,https://open.spotify.com/artist/5L6lO4X5v3GJpTkBg1BdW2,22072,Spotify public artist page,,25610,2026-06-29T19:38:38+00:00,-3538,-0.13814916048418585,-241.6937997428749,,,,,"Spotify Development Mode response does not expose track popularity, artist popularity, followers, or public cumulative track streams; monthly listeners are the study proxy.",6i2YlWnGeQeQCYMCpTN22L,Angel of Revenge,single,2018-12-15,day,1,,4061707118418,,C: 2018 Lith Music; P: 2018 Lith Music,DEAR41838004,363316,1,1,False,True,False,rank,Middle,47.59,Middle,4.408427,19.0,38.333333,4.343841687
week1_13july,2026-07-14T10:57:52+00:00,Spotify,Aysima Karçaaltıncaba,aaaaysimaaaa,Heavy Metal MCT,531GNQfZFLGveRbERYYUaw,https://open.spotify.com/playlist/531GNQfZFLGveRbERYYUaw,18,2026-07-13T10:39:10Z,aaaaysimaaaa,M034,Shaman,Brand New Me,Brazil,2022,power metal,4O9EMs6XKGFLMMEqeHd0JQ,spotify:track:4O9EMs6XKGFLMMEqeHd0JQ,https://open.spotify.com/track/4O9EMs6XKGFLMMEqeHd0JQ,Brand New Me,Shaman,2THaGrUq7RPnj8Uax9zQ1m,Shaman,https://open.spotify.com/artist/2THaGrUq7RPnj8Uax9zQ1m,177615,Spotify public artist page,,193502,2026-06-29T19:38:38+00:00,-15887,-0.08210251056836622,-1085.2994337238704,,,,,"Spotify Development Mode response does not expose track popularity, artist popularity, followers, or public cumulative track streams; monthly listeners are the study proxy.",5aejBADrlcalPGif5STSbR,Rescue,album,2022-04-15,day,12,,798339219094,,C: 2022 Shaman Records; P: 2022 Shaman Records,BRHHU2200009,315666,1,9,False,True,False,rank,Middle,60.84,Middle,5.286688,12.0,61.666667,5.24947964
week1_13july,2026-07-14T10:57:52+00:00,Spotify,Aysima Karçaaltıncaba,aaaaysimaaaa,Heavy Metal MCT,531GNQfZFLGveRbERYYUaw,https://open.spotify.com/playlist/531GNQfZFLGveRbERYYUaw,19,2026-07-03T10:35:53Z,aaaaysimaaaa,M023,Civil War,Rome Is Falling,Sweden,2012,power metal,6oYAAgSsy3A5167QZl6Zb5,spotify:track:6oYAAgSsy3A5167QZl6Zb5,https://open.spotify.com/track/6oYAAgSsy3A5167QZl6Zb5,Rome Is Falling,Civil War,6lGzC0JJCotCU9QZ2Lgi8T,Civil War,https://open.spotify.com/artist/6lGzC0JJCotCU9QZ2Lgi8T,68740,Spotify public artist page,,68031,2026-06-29T19:38:38+00:00,709,0.01042171951022328,48.434399100536545,,,,,"Spotify Development Mode response does not expose track popularity, artist popularity, followers, or public cumulative track streams; monthly listeners are the study proxy.",5fM0rfo5JlJPdE6xuuMzyy,Rome Is Falling,single,2012-10-23,day,1,,07350049511221,,C: © 2012 Despotz Records; P: ℗ 2012 Despotz Records,SEXTE1202101,324423,1,1,False,True,False,rank,Middle,53.61,Middle,4.832713,13.0,58.333333,4.837209528
week1_13july,2026-07-14T10:57:52+00:00,Spotify,Aysima Karçaaltıncaba,aaaaysimaaaa,Heavy Metal MCT,531GNQfZFLGveRbERYYUaw,https://open.spotify.com/playlist/531GNQfZFLGveRbERYYUaw,20,2026-07-03T10:35:53Z,aaaaysimaaaa,M067,Pentagram,Geçmişin Yükü,Turkey,2012,heavy metal,11DYAaYg2bXqa2Vr8OpS4z,spotify:track:11DYAaYg2bXqa2Vr8OpS4z,https://open.spotify.com/track/11DYAaYg2bXqa2Vr8OpS4z,Geçmişin Yükü,Pentagram,1Xz8iP9Dvl5uI88iraOhs7,Pentagram,https://open.spotify.com/artist/1Xz8iP9Dvl5uI88iraOhs7,194248,Spotify public artist page,,198966,2026-06-29T19:38:38+00:00,-4718,-0.02371259411155675,-322.30394211048156,,,,,"Spotify Development Mode response does not expose track popularity, artist popularity, followers, or public cumulative track streams; monthly listeners are the study proxy.",4kkWxDC0n1hNt5BNnBvLQh,MMXII,album,2012-04-29,day,10,,886443466029,,P: (P) 2012 SONY MUSIC TURKEY,TRA161200036,304426,1,3,False,True,False,rank,Middle,62.05,Middle,5.298781,11.0,65.0,5.288356556
