source_type,playlist_kind,week_folder,week_number,platform,user_folder,user_number,playlist_file,playlist_name,playlist_id,playlist_url,playlist_position,track_id,track_url,track_name,artist_name,primary_artist_id,album_name,release_date,duration_seconds,explicit,popularity_metric,popularity_value,popularity_display,popularity_log10,selection_tier,baseline_empirical_percentile,baseline_empirical_band,baseline_range_band,baseline_median_value,baseline_median_log10,ratio_vs_baseline_median,log10_delta_vs_baseline_median,style,country,expected_year,secondary_metric,secondary_value,secondary_display,available_country_count,video_or_track_type,captured_at_utc,source_account_or_profile,metadata_error
baseline,final_balanced_playlist,FinalBalanced,0,Spotify,FinalBalanced,0,experiment_setup/final_balanced_playlist.csv,final_balanced_playlist,,,11,1RtW5EA4LO7nZHrgmgxCnJ,https://open.spotify.com/track/1RtW5EA4LO7nZHrgmgxCnJ,Better Late Than Never,Skull Fist,,,2018,,,spotify_artist_monthly_listeners,27621,27621,4.441239397871147,Middle,45.0,middle_third_vs_final_balanced,within_final_balanced_middle_range,30091.0,4.478139338658135,0.9179156558439401,-0.036899940786987884,heavy metal,Canada,2018,,,,,,2026-06-29T19:38:38+00:00,experiment_setup,
baseline,final_balanced_playlist,FinalBalanced,0,Spotify,FinalBalanced,0,experiment_setup/final_balanced_playlist.csv,final_balanced_playlist,,,12,2xT6dOB9HTQgP4WoR5ByI2,https://open.spotify.com/track/2xT6dOB9HTQgP4WoR5ByI2,Like Orpheus,Orphaned Land,,,2018,,,spotify_artist_monthly_listeners,28978,28978,4.462068408086943,Middle,48.333333333333336,middle_third_vs_final_balanced,within_final_balanced_middle_range,30091.0,4.478139338658135,0.9630121963377755,-0.01607093057119169,heavy metal,Israel,2018,,,,,,2026-06-29T19:38:38+00:00,experiment_setup,
baseline,final_balanced_playlist,FinalBalanced,0,Spotify,FinalBalanced,0,experiment_setup/final_balanced_playlist.csv,final_balanced_playlist,,,13,6bzEx9m1sOsY2WgAjPjcVX,https://open.spotify.com/track/6bzEx9m1sOsY2WgAjPjcVX,Warrior Queen,Visigoth,,,2015,,,spotify_artist_monthly_listeners,24956,24956,4.3971749769583255,Middle,38.333333333333336,middle_third_vs_final_balanced,within_final_balanced_middle_range,30091.0,4.478139338658135,0.8293509687281911,-0.08096436169980947,heavy metal,United States,2015,,,,,,2026-06-29T19:38:38+00:00,experiment_setup,
baseline,final_balanced_playlist,FinalBalanced,0,Spotify,FinalBalanced,0,experiment_setup/final_balanced_playlist.csv,final_balanced_playlist,,,14,4ktpjpQSF5GeX03fzd06EJ,https://open.spotify.com/track/4ktpjpQSF5GeX03fzd06EJ,Angel of Revenge,Vision Divine,,,2018,,,spotify_artist_monthly_listeners,25610,25610,4.408409578468429,Middle,41.666666666666664,middle_third_vs_final_balanced,within_final_balanced_middle_range,30091.0,4.478139338658135,0.8510850420391479,-0.06972976018970556,power metal,Italy,2018,,,,,,2026-06-29T19:38:38+00:00,experiment_setup,
baseline,final_balanced_playlist,FinalBalanced,0,Spotify,FinalBalanced,0,experiment_setup/final_balanced_playlist.csv,final_balanced_playlist,,,15,4ZCE9a3407wu9FG2i8baFE,https://open.spotify.com/track/4ZCE9a3407wu9FG2i8baFE,Hellphoria,Exlibris,,,2013,,,spotify_artist_monthly_listeners,742,742,2.870403905279027,Low,15.0,bottom_third_vs_final_balanced,within_final_balanced_low_range,30091.0,4.478139338658135,0.02465853577481639,-1.607735433379108,power metal,Poland,2013,,,,,,2026-06-29T19:38:38+00:00,experiment_setup,
baseline,final_balanced_playlist,FinalBalanced,0,Spotify,FinalBalanced,0,experiment_setup/final_balanced_playlist.csv,final_balanced_playlist,,,16,5aI2EF6gFKSdqW1bEHQFcb,https://open.spotify.com/track/5aI2EF6gFKSdqW1bEHQFcb,The Devil's Doll,Carthagods,,,2015,,,spotify_artist_monthly_listeners,640,640,2.806179973983887,Low,11.666666666666666,bottom_third_vs_final_balanced,within_final_balanced_low_range,30091.0,4.478139338658135,0.021268817918979097,-1.6719593646742479,heavy metal,Tunisia,2015,,,,,,2026-06-29T19:38:38+00:00,experiment_setup,
baseline,final_balanced_playlist,FinalBalanced,0,Spotify,FinalBalanced,0,experiment_setup/final_balanced_playlist.csv,final_balanced_playlist,,,17,5Hx4kJ8V59tGFotZHYW9Vy,https://open.spotify.com/track/5Hx4kJ8V59tGFotZHYW9Vy,Flesh Potion,Skinflint,,,2022,,,spotify_artist_monthly_listeners,385,385,2.5854607295085006,Low,5.0,bottom_third_vs_final_balanced,within_final_balanced_low_range,30091.0,4.478139338658135,0.012794523279385862,-1.8926786091496344,heavy metal,Botswana,2022,,,,,,2026-06-29T19:38:38+00:00,experiment_setup,
baseline,final_balanced_playlist,FinalBalanced,0,Spotify,FinalBalanced,0,experiment_setup/final_balanced_playlist.csv,final_balanced_playlist,,,18,1YpY2YfPHkbXCA1kaccmoF,https://open.spotify.com/track/1YpY2YfPHkbXCA1kaccmoF,Stigmata,Arrayan Path,,,2018,,,spotify_artist_monthly_listeners,522,522,2.717670503002262,Low,8.333333333333334,bottom_third_vs_final_balanced,within_final_balanced_low_range,30091.0,4.478139338658135,0.017347379615167326,-1.7604688356558729,power metal,Cyprus,2018,,,,,,2026-06-29T19:38:38+00:00,experiment_setup,
baseline,final_balanced_playlist,FinalBalanced,0,Spotify,FinalBalanced,0,experiment_setup/final_balanced_playlist.csv,final_balanced_playlist,,,19,6s5DxrVYsqh50hN2adnj0m,https://open.spotify.com/track/6s5DxrVYsqh50hN2adnj0m,Reverse,Eagleheart,,,2017,,,spotify_artist_monthly_listeners,297,297,2.4727564493172123,Low,1.6666666666666667,bottom_third_vs_final_balanced,within_final_balanced_low_range,30091.0,4.478139338658135,0.009870060815526237,-2.0053828893409227,power metal,Czech Republic,2017,,,,,,2026-06-29T19:38:38+00:00,experiment_setup,
baseline,final_balanced_playlist,FinalBalanced,0,Spotify,FinalBalanced,0,experiment_setup/final_balanced_playlist.csv,final_balanced_playlist,,,20,6BZwg1KPw2Rl0sSzE8yGNc,https://open.spotify.com/track/6BZwg1KPw2Rl0sSzE8yGNc,City of Golden Gates,Attick Demons,,,2016,,,spotify_artist_monthly_listeners,835,835,2.921686475483602,Low,18.333333333333332,bottom_third_vs_final_balanced,within_final_balanced_low_range,30091.0,4.478139338658135,0.02774916087866804,-1.556452863174533,heavy metal,Portugal,2016,,,,,,2026-06-29T19:38:38+00:00,experiment_setup,
