snapshot_label,captured_at_utc,platform,metadata_access,playlist_name,playlist_position,candidate_id,research_artist,research_title,artist_origin_country_research,expected_release_year_research,genre_style_research,youtube_video_id,youtube_music_url,youtube_url,youtube_title,youtube_artists,video_type,category,duration_seconds,view_count,view_count_source,previous_view_count,previous_view_capture_utc,view_count_change,view_count_change_fraction,average_views_added_per_day,like_count,comment_count,like_comment_availability_note,primary_artist_channel_id,primary_artist_name,artist_subscribers_display,artist_subscribers_approx,artist_channel_views,artist_description,artist_song_shelf_count,artist_album_shelf_count,artist_single_shelf_count,artist_video_shelf_count,topic_channel_owner,topic_channel_url,album_browse_id,album_name,album_type,album_year,album_track_count,album_duration_seconds,album_audio_playlist_id,upload_date,publish_date,available_country_count,available_country_codes,available_countries_note,is_available,is_explicit_track,is_explicit_album,family_safe,unlisted,paid,allow_ratings,is_live_content,is_private,is_crawlable,playability_status,playable_in_embed,tags,thumbnail_url,song_fetch_error,watch_fetch_error,artist_fetch_error,album_fetch_error,selection_method,youtube_selected_tier,original_pool_youtube_percentile,original_pool_youtube_rank_tier,original_pool_youtube_log10_popularity,views_rank_within_playlist_desc,views_percentile_within_playlist,views_log10
week1_13july,2026-07-14T10:57:52+00:00,YouTube Music,anonymous public YouTube Music web API,Heavy Metal MCT,1,M084,Exlibris,Hellphoria,Poland,2013,power metal,IVSlnryCW7s,https://music.youtube.com/watch?v=IVSlnryCW7s,https://www.youtube.com/watch?v=IVSlnryCW7s,Hellphoria,Exlibris,MUSIC_VIDEO_TYPE_ATV,Music,197,1430,ytmusicapi player response videoDetails.viewCount,1423,2026-06-29T19:44:09+00:00,7,0.004919184820801124,0.4783209416469014,,,Exact public like/comment counts require the parked official YouTube Data API integration; not returned by the YouTube Music endpoint used.,UCvH3JebPOIxBSA1vGmv515A,Exlibris,131,131,,,5,2,1,10,Exlibris - Topic,http://www.youtube.com/channel/UCvH3JebPOIxBSA1vGmv515A,MPREb_pc2Bn58vkWQ,Humagination,Album,2016,12,3336,OLAK5uy_mBG4WmDkmBJW49cZU8DZmH9QKM9VMQle4,2020-05-13T07:44:15-07:00,2020-05-13T07:44:15-07:00,123,AE;AR;AS;AT;AU;AW;AZ;BA;BD;BE;BG;BH;BM;BO;BR;BY;CA;CH;CL;CO;CR;CY;CZ;DE;DK;DO;DZ;EC;EE;EG;ES;FI;FR;GB;GE;GF;GH;GP;GR;GT;GU;HK;HN;HR;HU;ID;IE;IL;IN;IQ;IS;IT;JM;JO;JP;KE;KH;KR;KW;KY;KZ;LA;LB;LI;LK;LT;LU;LV;LY;MA;MK;MP;MQ;MT;MX;MY;NC;NG;NI;NL;NO;NP;NZ;OM;PA;PE;PF;PG;PH;PK;PL;PR;PT;PY;QA;RE;RO;RS;RU;SA;SE;SG;SI;SK;SN;SV;TC;TH;TN;TR;TW;TZ;UA;UG;US;UY;VE;VI;VN;YE;YT;ZA;ZW,"Distribution territories, not artist origin or audience geography.",,,False,True,False,False,True,False,False,True,OK,True,Exlibris; Humagination; Hellphoria,https://i.ytimg.com/vi/IVSlnryCW7s/maxresdefault.jpg,,,,,rank,Low,10.24,Low,3.153510,26.0,15.0,3.155336037
week1_13july,2026-07-14T10:57:52+00:00,YouTube Music,anonymous public YouTube Music web API,Heavy Metal MCT,2,M045,Carthagods,The Devil's Doll,Tunisia,2015,heavy metal,FnGWUPTT9vk,https://music.youtube.com/watch?v=FnGWUPTT9vk,https://www.youtube.com/watch?v=FnGWUPTT9vk,The Devil's Doll,Carthagods,MUSIC_VIDEO_TYPE_ATV,Music,357,1804,ytmusicapi player response videoDetails.viewCount,1797,2026-06-29T19:44:09+00:00,7,0.0038953811908736783,0.4783209416469014,,,Exact public like/comment counts require the parked official YouTube Data API integration; not returned by the YouTube Music endpoint used.,UCBQHJEl4m3XG0_wEpEXAwDw,Carthagods,630,630,,,5,2,1,5,Carthagods - Topic,http://www.youtube.com/channel/UCBQHJEl4m3XG0_wEpEXAwDw,MPREb_Yqns0PKaiEM,The Devil's Doll,Single,2018,1,357,OLAK5uy_laht0rN4yDoMtP3HIAb42D8JbOMGQtCyc,2018-12-31T11:44:14-08:00,2018-12-31T11:44:14-08:00,249,AD;AE;AF;AG;AI;AL;AM;AO;AQ;AR;AS;AT;AU;AW;AX;AZ;BA;BB;BD;BE;BF;BG;BH;BI;BJ;BL;BM;BN;BO;BQ;BR;BS;BT;BV;BW;BY;BZ;CA;CC;CD;CF;CG;CH;CI;CK;CL;CM;CN;CO;CR;CU;CV;CW;CX;CY;CZ;DE;DJ;DK;DM;DO;DZ;EC;EE;EG;EH;ER;ES;ET;FI;FJ;FK;FM;FO;FR;GA;GB;GD;GE;GF;GG;GH;GI;GL;GM;GN;GP;GQ;GR;GS;GT;GU;GW;GY;HK;HM;HN;HR;HT;HU;ID;IE;IL;IM;IN;IO;IQ;IR;IS;IT;JE;JM;JO;JP;KE;KG;KH;KI;KM;KN;KP;KR;KW;KY;KZ;LA;LB;LC;LI;LK;LR;LS;LT;LU;LV;LY;MA;MC;MD;ME;MF;MG;MH;MK;ML;MM;MN;MO;MP;MQ;MR;MS;MT;MU;MV;MW;MX;MY;MZ;NA;NC;NE;NF;NG;NI;NL;NO;NP;NR;NU;NZ;OM;PA;PE;PF;PG;PH;PK;PL;PM;PN;PR;PS;PT;PW;PY;QA;RE;RO;RS;RU;RW;SA;SB;SC;SD;SE;SG;SH;SI;SJ;SK;SL;SM;SN;SO;SR;SS;ST;SV;SX;SY;SZ;TC;TD;TF;TG;TH;TJ;TK;TL;TM;TN;TO;TR;TT;TV;TW;TZ;UA;UG;UM;US;UY;UZ;VA;VC;VE;VG;VI;VN;VU;WF;WS;YE;YT;ZA;ZM;ZW,"Distribution territories, not artist origin or audience geography.",,,False,True,False,False,True,False,False,True,OK,True,Carthagods; The Devil's Doll,https://i.ytimg.com/vi/FnGWUPTT9vk/maxresdefault.jpg,,,,,rank,Low,13.86,Low,3.254790,24.0,21.666667,3.256236533
week1_13july,2026-07-14T10:57:52+00:00,YouTube Music,anonymous public YouTube Music web API,Heavy Metal MCT,3,M074,Skinflint,Flesh Potion,Botswana,2022,heavy metal,Lm9xUURZJ6k,https://music.youtube.com/watch?v=Lm9xUURZJ6k,https://www.youtube.com/watch?v=Lm9xUURZJ6k,Flesh Potion,Skinflint,MUSIC_VIDEO_TYPE_ATV,Music,294,884,ytmusicapi player response videoDetails.viewCount,863,2026-06-29T19:44:09+00:00,21,0.02433371958285052,1.4349628249407043,,,Exact public like/comment counts require the parked official YouTube Data API integration; not returned by the YouTube Music endpoint used.,UC40niflL8sUAjeSquCCQ6Pg,Skinflint,3.61K,3610,785495,"Skinflint is a heavy metal band from Gaborone, Botswana. They have incorporated elements from African culture into heavy metal music, attracting the attention of international media. Their releases, Iklwa, Gauna and Dipoko, pay homage to ancestral beliefs and African spirituality, while the band still plays in the vein of traditional heavy metal.

From Wikipedia (",5,2,2,10,Skinflint - Topic,http://www.youtube.com/channel/UC40niflL8sUAjeSquCCQ6Pg,MPREb_cKB06epOyKh,Adze,EP,2022,4,1015,OLAK5uy_nzhJcsyveSQQsIqJIw35kIc9oYoclzDoY,2023-03-06T15:15:59-08:00,2023-03-06T15:15:59-08:00,244,AD;AE;AF;AG;AI;AL;AM;AO;AQ;AR;AS;AT;AU;AW;AX;AZ;BA;BB;BD;BE;BF;BG;BH;BI;BJ;BL;BM;BN;BO;BQ;BR;BS;BT;BV;BW;BY;BZ;CA;CC;CD;CF;CG;CH;CI;CK;CL;CM;CN;CO;CR;CV;CW;CX;CY;CZ;DE;DJ;DK;DM;DO;DZ;EC;EE;EG;EH;ER;ES;ET;FI;FJ;FK;FM;FO;FR;GA;GB;GD;GE;GF;GG;GH;GI;GL;GM;GN;GP;GQ;GR;GS;GT;GU;GW;GY;HK;HM;HN;HR;HT;HU;ID;IE;IL;IM;IN;IO;IQ;IS;IT;JE;JM;JO;JP;KE;KG;KH;KI;KM;KN;KR;KW;KY;KZ;LA;LB;LC;LI;LK;LR;LS;LT;LU;LV;LY;MA;MC;MD;ME;MF;MG;MH;MK;ML;MM;MN;MO;MP;MQ;MR;MS;MT;MU;MV;MW;MX;MY;MZ;NA;NC;NE;NF;NG;NI;NL;NO;NP;NR;NU;NZ;OM;PA;PE;PF;PG;PH;PK;PL;PM;PN;PR;PS;PT;PW;PY;QA;RE;RO;RS;RU;RW;SA;SB;SC;SE;SG;SH;SI;SJ;SK;SL;SM;SN;SO;SR;SS;ST;SV;SX;SZ;TC;TD;TF;TG;TH;TJ;TK;TL;TM;TN;TO;TR;TT;TV;TW;TZ;UA;UG;UM;US;UY;UZ;VA;VC;VE;VG;VI;VN;VU;WF;WS;YE;YT;ZA;ZM;ZW,"Distribution territories, not artist origin or audience geography.",,,False,True,False,False,True,False,False,True,OK,True,Skinflint; Adze; Flesh Potion,https://i.ytimg.com/vi/Lm9xUURZJ6k/maxresdefault.jpg,,,,,rank,Low,7.83,Low,2.936514,28.0,8.333333,2.946452265
week1_13july,2026-07-14T10:57:52+00:00,YouTube Music,anonymous public YouTube Music web API,Heavy Metal MCT,4,M080,Arrayan Path,Stigmata,Cyprus,2018,power metal,CxTRjHDxL4w,https://music.youtube.com/watch?v=CxTRjHDxL4w,https://www.youtube.com/watch?v=CxTRjHDxL4w,Stigmata,Arrayan Path,MUSIC_VIDEO_TYPE_ATV,Music,388,1979,ytmusicapi player response videoDetails.viewCount,1955,2026-06-29T19:44:09+00:00,24,0.012276214833759591,1.6399575142179477,,,Exact public like/comment counts require the parked official YouTube Data API integration; not returned by the YouTube Music endpoint used.,UCuHe2B3O1dUqWYEM7BiNoog,Arrayan Path,543,543,,,5,8,2,10,Arrayan Path - Topic,http://www.youtube.com/channel/UCuHe2B3O1dUqWYEM7BiNoog,MPREb_qk3LA0tjUJo,IV: Stigmata,Album,2013,10,3133,OLAK5uy_kapuWO3P5k0JzyxRyT7ywSXKxozfzb4-4,2022-10-02T03:02:21-07:00,2022-10-02T03:02:21-07:00,122,AE;AR;AS;AT;AU;AW;AZ;BA;BD;BE;BG;BH;BM;BO;BR;BY;CA;CH;CL;CO;CR;CY;CZ;DE;DK;DO;DZ;EC;EE;EG;ES;FI;FR;GB;GE;GF;GH;GP;GR;GT;GU;HK;HN;HR;HU;ID;IE;IL;IN;IQ;IS;IT;JM;JO;JP;KE;KH;KR;KW;KY;KZ;LA;LB;LI;LK;LT;LU;LV;LY;MA;MK;MP;MQ;MT;MX;MY;NC;NG;NI;NL;NO;NP;NZ;OM;PA;PE;PF;PG;PH;PK;PL;PR;PT;PY;QA;RE;RO;RS;SA;SE;SG;SI;SK;SN;SV;TC;TH;TN;TR;TW;TZ;UA;UG;US;UY;VE;VI;VN;YE;YT;ZA;ZW,"Distribution territories, not artist origin or audience geography.",,,False,True,False,False,True,False,False,True,OK,True,Arrayan Path; IV: Stigmata; Stigmata,https://i.ytimg.com/vi/CxTRjHDxL4w/maxresdefault.jpg,,,,,rank,Low,15.06,Low,3.291369,23.0,25.0,3.296445794
week1_13july,2026-07-14T10:57:52+00:00,YouTube Music,anonymous public YouTube Music web API,Heavy Metal MCT,5,M081,Eagleheart,Reverse,Czech Republic,2017,power metal,U20b7be3zO8,https://music.youtube.com/watch?v=U20b7be3zO8,https://www.youtube.com/watch?v=U20b7be3zO8,Reverse,Eagleheart,MUSIC_VIDEO_TYPE_ATV,Music,375,1246,ytmusicapi player response videoDetails.viewCount,1241,2026-06-29T19:44:09+00:00,5,0.0040290088638195,0.34165781546207247,,,Exact public like/comment counts require the parked official YouTube Data API integration; not returned by the YouTube Music endpoint used.,UCsr-GNQUEoTfMzsCFjozGCg,Eagleheart,151,151,,,5,3,1,10,Eagleheart - Topic,http://www.youtube.com/channel/UCsr-GNQUEoTfMzsCFjozGCg,MPREb_eXn583hYq9P,Reverse,Album,2017,12,3238,OLAK5uy_lLFQnhOoCwogU3vkE_kNr6IovEiaqzchg,2020-04-03T06:30:39-07:00,2020-04-03T06:30:39-07:00,123,AE;AR;AS;AT;AU;AW;AZ;BA;BD;BE;BG;BH;BM;BO;BR;BY;CA;CH;CL;CO;CR;CY;CZ;DE;DK;DO;DZ;EC;EE;EG;ES;FI;FR;GB;GE;GF;GH;GP;GR;GT;GU;HK;HN;HR;HU;ID;IE;IL;IN;IQ;IS;IT;JM;JO;JP;KE;KH;KR;KW;KY;KZ;LA;LB;LI;LK;LT;LU;LV;LY;MA;MK;MP;MQ;MT;MX;MY;NC;NG;NI;NL;NO;NP;NZ;OM;PA;PE;PF;PG;PH;PK;PL;PR;PT;PY;QA;RE;RO;RS;RU;SA;SE;SG;SI;SK;SN;SV;TC;TH;TN;TR;TW;TZ;UA;UG;US;UY;VE;VI;VN;YE;YT;ZA;ZW,"Distribution territories, not artist origin or audience geography.",,,False,True,False,False,True,False,False,True,OK,True,Eagleheart; Reverse,https://i.ytimg.com/vi/U20b7be3zO8/maxresdefault.jpg,,,,,rank,Low,9.04,Low,3.094122,27.0,11.666667,3.095518042
week1_13july,2026-07-14T10:57:52+00:00,YouTube Music,anonymous public YouTube Music web API,Heavy Metal MCT,6,M065,Attick Demons,City of Golden Gates,Portugal,2016,heavy metal,DAV2A8R2x1w,https://music.youtube.com/watch?v=DAV2A8R2x1w,https://www.youtube.com/watch?v=DAV2A8R2x1w,City of Golden Gates,Attick Demons,MUSIC_VIDEO_TYPE_ATV,Music,318,2508,ytmusicapi player response videoDetails.viewCount,2445,2026-06-29T19:44:09+00:00,63,0.025766871165644172,4.304888474822112,,,Exact public like/comment counts require the parked official YouTube Data API integration; not returned by the YouTube Music endpoint used.,UCwXb3EDZKD0pSgH53m46R2A,Attick Demons,643,643,,,5,3,4,10,Attick Demons - Topic,http://www.youtube.com/channel/UCwXb3EDZKD0pSgH53m46R2A,MPREb_RsK4f4xkC9j,Atlantis,Album,2020,11,3353,OLAK5uy_lgOBtZiVCelXrp5Kur7gEiVcufpy1NzRg,2024-12-01T02:02:37-08:00,2024-12-01T02:02:37-08:00,122,AE;AR;AS;AT;AU;AW;AZ;BA;BD;BE;BG;BH;BM;BO;BR;BY;CA;CH;CL;CO;CR;CY;CZ;DE;DK;DO;DZ;EC;EE;EG;ES;FI;FR;GB;GE;GF;GH;GP;GR;GT;GU;HK;HN;HR;HU;ID;IE;IL;IN;IQ;IS;IT;JM;JO;JP;KE;KH;KR;KW;KY;KZ;LA;LB;LI;LK;LT;LU;LV;LY;MA;MK;MP;MQ;MT;MX;MY;NC;NG;NI;NL;NO;NP;NZ;OM;PA;PE;PF;PG;PH;PK;PL;PR;PT;PY;QA;RE;RO;RS;SA;SE;SG;SI;SK;SN;SV;TC;TH;TN;TR;TW;TZ;UA;UG;US;UY;VE;VI;VN;YE;YT;ZA;ZW,"Distribution territories, not artist origin or audience geography.",,,False,True,False,False,True,False,False,True,OK,True,Attick Demons; Artur Almeida; Gonçalo Pais; João Clemente; Luis Figueira; Nuno Martins; Atlantis; City of Golden Gates,https://i.ytimg.com/vi/DAV2A8R2x1w/maxresdefault.jpg,,,,,rank,Low,17.47,Low,3.388456,22.0,28.333333,3.399327532
week1_13july,2026-07-14T10:57:52+00:00,YouTube Music,anonymous public YouTube Music web API,Heavy Metal MCT,7,M050,LORD,United,Australia,2019,power metal,p3syPBCnQ3w,https://music.youtube.com/watch?v=p3syPBCnQ3w,https://www.youtube.com/watch?v=p3syPBCnQ3w,United,Lord,MUSIC_VIDEO_TYPE_ATV,Music,298,1611,ytmusicapi player response videoDetails.viewCount,1594,2026-06-29T19:44:09+00:00,17,0.01066499372647428,1.1616365725710462,,,Exact public like/comment counts require the parked official YouTube Data API integration; not returned by the YouTube Music endpoint used.,UC7LYgCcJc8xSzTGfgCDRLYQ,Lord,7.67K,7670,2338241,Australian Heavy Metal - ,5,10,10,10,LORD - Topic,http://www.youtube.com/channel/UC7LYgCcJc8xSzTGfgCDRLYQ,MPREb_X9YrU2ISbuB,United,Single,2019,1,298,OLAK5uy_nUrq5tsL8IB-OIV2su9dcOVelhq_Eui88,2019-03-01T16:34:50-08:00,2019-03-01T16:34:50-08:00,249,AD;AE;AF;AG;AI;AL;AM;AO;AQ;AR;AS;AT;AU;AW;AX;AZ;BA;BB;BD;BE;BF;BG;BH;BI;BJ;BL;BM;BN;BO;BQ;BR;BS;BT;BV;BW;BY;BZ;CA;CC;CD;CF;CG;CH;CI;CK;CL;CM;CN;CO;CR;CU;CV;CW;CX;CY;CZ;DE;DJ;DK;DM;DO;DZ;EC;EE;EG;EH;ER;ES;ET;FI;FJ;FK;FM;FO;FR;GA;GB;GD;GE;GF;GG;GH;GI;GL;GM;GN;GP;GQ;GR;GS;GT;GU;GW;GY;HK;HM;HN;HR;HT;HU;ID;IE;IL;IM;IN;IO;IQ;IR;IS;IT;JE;JM;JO;JP;KE;KG;KH;KI;KM;KN;KP;KR;KW;KY;KZ;LA;LB;LC;LI;LK;LR;LS;LT;LU;LV;LY;MA;MC;MD;ME;MF;MG;MH;MK;ML;MM;MN;MO;MP;MQ;MR;MS;MT;MU;MV;MW;MX;MY;MZ;NA;NC;NE;NF;NG;NI;NL;NO;NP;NR;NU;NZ;OM;PA;PE;PF;PG;PH;PK;PL;PM;PN;PR;PS;PT;PW;PY;QA;RE;RO;RS;RU;RW;SA;SB;SC;SD;SE;SG;SH;SI;SJ;SK;SL;SM;SN;SO;SR;SS;ST;SV;SX;SY;SZ;TC;TD;TF;TG;TH;TJ;TK;TL;TM;TN;TO;TR;TT;TV;TW;TZ;UA;UG;UM;US;UY;UZ;VA;VC;VE;VG;VI;VN;VU;WF;WS;YE;YT;ZA;ZM;ZW,"Distribution territories, not artist origin or audience geography.",,,False,True,False,False,True,False,False,True,OK,True,Lord; United,https://i.ytimg.com/vi/p3syPBCnQ3w/maxresdefault.jpg,,,,,rank,Low,12.65,Low,3.202761,25.0,18.333333,3.20709554
week1_13july,2026-07-14T10:57:52+00:00,YouTube Music,anonymous public YouTube Music web API,Heavy Metal MCT,8,M038,Concerto Moon,Alone in Paradise,Japan,2017,power metal,IsRd3kIThAo,https://music.youtube.com/watch?v=IsRd3kIThAo,https://www.youtube.com/watch?v=IsRd3kIThAo,ALONE IN PARADISE,CONCERTO MOON,MUSIC_VIDEO_TYPE_ATV,Music,279,281,ytmusicapi player response videoDetails.viewCount,242,2026-06-29T19:44:09+00:00,39,0.16115702479338842,2.664930960604165,,,Exact public like/comment counts require the parked official YouTube Data API integration; not returned by the YouTube Music endpoint used.,UCRMNqkROJPae4hhmnnvN_RQ,CONCERTO MOON,3.98K,3980,828621,"Concerto Moon is a Japanese neoclassical metal/power metal band formed in 1996 and led by guitarist Norifumi Shima.
The band's first two albums were reissued by InsideOut Music in 2003.

From Wikipedia (",5,10,4,7,CONCERTO MOON - Topic,http://www.youtube.com/channel/UCRMNqkROJPae4hhmnnvN_RQ,MPREb_7LRv3Rj1vFv,OUROBOROS,Album,2019,12,4227,OLAK5uy_l_xZVgawxrap74lszGowd8f8QmqvkO_WY,2025-12-15T02:02:56-08:00,2025-12-15T02:02:56-08:00,249,AD;AE;AF;AG;AI;AL;AM;AO;AQ;AR;AS;AT;AU;AW;AX;AZ;BA;BB;BD;BE;BF;BG;BH;BI;BJ;BL;BM;BN;BO;BQ;BR;BS;BT;BV;BW;BY;BZ;CA;CC;CD;CF;CG;CH;CI;CK;CL;CM;CN;CO;CR;CU;CV;CW;CX;CY;CZ;DE;DJ;DK;DM;DO;DZ;EC;EE;EG;EH;ER;ES;ET;FI;FJ;FK;FM;FO;FR;GA;GB;GD;GE;GF;GG;GH;GI;GL;GM;GN;GP;GQ;GR;GS;GT;GU;GW;GY;HK;HM;HN;HR;HT;HU;ID;IE;IL;IM;IN;IO;IQ;IR;IS;IT;JE;JM;JO;JP;KE;KG;KH;KI;KM;KN;KP;KR;KW;KY;KZ;LA;LB;LC;LI;LK;LR;LS;LT;LU;LV;LY;MA;MC;MD;ME;MF;MG;MH;MK;ML;MM;MN;MO;MP;MQ;MR;MS;MT;MU;MV;MW;MX;MY;MZ;NA;NC;NE;NF;NG;NI;NL;NO;NP;NR;NU;NZ;OM;PA;PE;PF;PG;PH;PK;PL;PM;PN;PR;PS;PT;PW;PY;QA;RE;RO;RS;RU;RW;SA;SB;SC;SD;SE;SG;SH;SI;SJ;SK;SL;SM;SN;SO;SR;SS;ST;SV;SX;SY;SZ;TC;TD;TF;TG;TH;TJ;TK;TL;TM;TN;TO;TR;TT;TV;TW;TZ;UA;UG;UM;US;UY;UZ;VA;VC;VE;VG;VI;VN;VU;WF;WS;YE;YT;ZA;ZM;ZW,"Distribution territories, not artist origin or audience geography.",,,False,True,False,False,True,False,False,True,OK,True,CONCERTO MOON; OUROBOROS; ALONE IN PARADISE,https://i.ytimg.com/vi/IsRd3kIThAo/maxresdefault.jpg,,,,,rank,Low,3.01,Low,2.385606,29.0,5.0,2.44870632
week1_13july,2026-07-14T10:57:52+00:00,YouTube Music,anonymous public YouTube Music web API,Heavy Metal MCT,9,M076,Emerald,Digital Slavery,Switzerland,2012,heavy metal,-Qz9Af0Gcmg,https://music.youtube.com/watch?v=-Qz9Af0Gcmg,https://www.youtube.com/watch?v=-Qz9Af0Gcmg,Digital Slavery,Emerald,MUSIC_VIDEO_TYPE_ATV,Music,233,172,ytmusicapi player response videoDetails.viewCount,150,2026-06-29T19:44:09+00:00,22,0.14666666666666667,1.5032943880331187,,,Exact public like/comment counts require the parked official YouTube Data API integration; not returned by the YouTube Music endpoint used.,UCMxiloAgB1veXuoOYr8Rm4A,Emerald,210,210,,,5,8,2,10,Emerald - Topic,http://www.youtube.com/channel/UCMxiloAgB1veXuoOYr8Rm4A,MPREb_FZGa82LS4y0,Digital Slavery,Single,2019,1,233,OLAK5uy_nOuxEBFK8BBwYnhV3lEki34Gs0ZPoeMoE,2024-12-01T02:01:42-08:00,2024-12-01T02:01:42-08:00,122,AE;AR;AS;AT;AU;AW;AZ;BA;BD;BE;BG;BH;BM;BO;BR;BY;CA;CH;CL;CO;CR;CY;CZ;DE;DK;DO;DZ;EC;EE;EG;ES;FI;FR;GB;GE;GF;GH;GP;GR;GT;GU;HK;HN;HR;HU;ID;IE;IL;IN;IQ;IS;IT;JM;JO;JP;KE;KH;KR;KW;KY;KZ;LA;LB;LI;LK;LT;LU;LV;LY;MA;MK;MP;MQ;MT;MX;MY;NC;NG;NI;NL;NO;NP;NZ;OM;PA;PE;PF;PG;PH;PK;PL;PR;PT;PY;QA;RE;RO;RS;SA;SE;SG;SI;SK;SN;SV;TC;TH;TN;TR;TW;TZ;UA;UG;US;UY;VE;VI;VN;YE;YT;ZA;ZW,"Distribution territories, not artist origin or audience geography.",,,False,True,False,False,True,False,False,True,OK,True,Emerald; Alexander Spicher; Julien Menth; Digital Slavery,https://i.ytimg.com/vi/-Qz9Af0Gcmg/maxresdefault.jpg,,,,,rank,Low,1.81,Low,2.178977,30.0,1.666667,2.235528447
week1_13july,2026-07-14T10:57:52+00:00,YouTube Music,anonymous public YouTube Music web API,Heavy Metal MCT,10,M062,Fireforce,Combat Metal,Belgium,2014,heavy metal,zip1C800tdU,https://music.youtube.com/watch?v=zip1C800tdU,https://www.youtube.com/watch?v=zip1C800tdU,Combat Metal,Fireforce,MUSIC_VIDEO_TYPE_ATV,Music,259,23399,ytmusicapi player response videoDetails.viewCount,23220,2026-06-29T19:44:09+00:00,179,0.007708871662360035,12.231349793542194,,,Exact public like/comment counts require the parked official YouTube Data API integration; not returned by the YouTube Music endpoint used.,UCyyAPt8fbTp8UJAhGYf-Iaw,Fireforce,567,567,,,5,3,6,10,FireForce - Topic,http://www.youtube.com/channel/UCyyAPt8fbTp8UJAhGYf-Iaw,MPREb_TxcUw583Vma,Deathbringer,Album,2014,13,3235,OLAK5uy_kBCXBnAMRWQIPMXAagwj_0pM4gTDX5bvE,2018-04-30T05:13:48-07:00,2018-04-30T05:13:48-07:00,123,AE;AR;AS;AT;AU;AW;AZ;BA;BD;BE;BG;BH;BM;BO;BR;BY;CA;CH;CL;CO;CR;CY;CZ;DE;DK;DO;DZ;EC;EE;EG;ES;FI;FR;GB;GE;GF;GH;GP;GR;GT;GU;HK;HN;HR;HU;ID;IE;IL;IN;IQ;IS;IT;JM;JO;JP;KE;KH;KR;KW;KY;KZ;LA;LB;LI;LK;LT;LU;LV;LY;MA;MK;MP;MQ;MT;MX;MY;NC;NG;NI;NL;NO;NP;NZ;OM;PA;PE;PF;PG;PH;PK;PL;PR;PT;PY;QA;RE;RO;RS;RU;SA;SE;SG;SI;SK;SN;SV;TC;TH;TN;TR;TW;TZ;UA;UG;US;UY;VE;VI;VN;YE;YT;ZA;ZW,"Distribution territories, not artist origin or audience geography.",,,False,True,False,False,True,False,False,True,OK,True,Fireforce; Deathbringer; Combat Metal,https://i.ytimg.com/vi/zip1C800tdU/maxresdefault.jpg,,,,,rank,Middle,42.77,Middle,4.365881,20.0,35.0,4.369197297
