candidate_id,artist,title,country,expected_year,style,youtube_artist_name,youtube_video_id,youtube_url,youtube_title,youtube_artists,youtube_album,youtube_album_year,youtube_video_type,view_count,like_count,comment_count,published_at,data_source,captured_at_utc,validation_status,validation_notes,youtube_percentile,youtube_tier
M011,Accept,Teutonic Terror,Germany,2010,heavy metal,,ral4hAS5dVk,https://music.youtube.com/watch?v=ral4hAS5dVk,Teutonic Terror,Accept,Blood of the Nations,2010,MUSIC_VIDEO_TYPE_ATV,3933340,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,86.14,High
M012,Orden Ogan,Gunman,Germany,2017,power metal,,79T6JjRNv3U,https://music.youtube.com/watch?v=79T6JjRNv3U,Gunman,Orden Ogan,Gunmen,2017,MUSIC_VIDEO_TYPE_ATV,2333853,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,81.33,High
M013,Primal Fear,The End Is Near,Germany,2016,heavy metal,,Cjp-AkJFoBg,https://music.youtube.com/watch?v=Cjp-AkJFoBg,The End Is Near,Primal Fear,Rulebreaker,2016,MUSIC_VIDEO_TYPE_ATV,247543,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,63.25,Buffer
M014,Grave Digger,Highland Farewell,Germany,2010,heavy metal,,au-tVxsTZxI,https://music.youtube.com/watch?v=au-tVxsTZxI,Highland Farewell,Grave Digger,The Clans Will Rise Again,2010,MUSIC_VIDEO_TYPE_ATV,19757,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,37.95,Middle
M015,Iron Maiden,Speed of Light,United Kingdom,2015,heavy metal,,GhUkyiAdXB4,https://music.youtube.com/watch?v=GhUkyiAdXB4,Speed of Light,Iron Maiden,The Book of Souls,2015,MUSIC_VIDEO_TYPE_ATV,1361348,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,76.51,High
M016,Judas Priest,Lightning Strike,United Kingdom,2018,heavy metal,,Gvwm29a-bNk,https://music.youtube.com/watch?v=Gvwm29a-bNk,Lightning Strike,Judas Priest,Firepower,2018,MUSIC_VIDEO_TYPE_ATV,1960543,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,80.12,High
M017,Saxon,Thunderbolt,United Kingdom,2018,heavy metal,,zJ8FuN2OXHI,https://music.youtube.com/watch?v=zJ8FuN2OXHI,Thunderbolt,Saxon,Thunderbolt,2018,MUSIC_VIDEO_TYPE_ATV,65843,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,52.41,Middle
M018,DragonForce,Cry Thunder,United Kingdom,2012,power metal,,20vgg_WoTz4,https://music.youtube.com/watch?v=20vgg_WoTz4,Cry Thunder,Dragonforce,The Power Within,2012,MUSIC_VIDEO_TYPE_ATV,1631618,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,78.92,High
M019,Sabaton,Bismarck,Sweden,2019,power metal,,ERj08qJ2FAU,https://music.youtube.com/watch?v=ERj08qJ2FAU,Bismarck,Sabaton,Bismarck,2019,MUSIC_VIDEO_TYPE_ATV,14176293,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,93.37,High
M020,HammerFall,Hector's Hymn,Sweden,2014,power metal,,8UhfQOUt-uE,https://music.youtube.com/watch?v=8UhfQOUt-uE,Hector's Hymn,Hammerfall,(R)Evolution,2014,MUSIC_VIDEO_TYPE_ATV,1100948,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,72.89,Buffer
M021,Bloodbound,Moria,Sweden,2011,power metal,,ReUYXFb2Ug8,https://music.youtube.com/watch?v=ReUYXFb2Ug8,Moria,Bloodbound,Unholy Cross,2011,MUSIC_VIDEO_TYPE_ATV,3751663,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,84.94,High
M022,Dynazty,Heartless Madness,Sweden,2020,power metal,,y9EltYiqC4U,https://music.youtube.com/watch?v=y9EltYiqC4U,Heartless Madness,Dynazty,The Dark Delight,2020,MUSIC_VIDEO_TYPE_ATV,9364147,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,92.17,High
M023,Civil War,Rome Is Falling,Sweden,2012,power metal,,MuAMjthSJm0,https://music.youtube.com/watch?v=MuAMjthSJm0,Rome Is Falling,Civil War,The Killer Angels,2013,MUSIC_VIDEO_TYPE_ATV,1392219,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,77.71,High
M024,Brothers of Metal,Yggdrasil,Sweden,2017,power metal,,3GicPBWG5EM,https://music.youtube.com/watch?v=3GicPBWG5EM,Yggdrasil,Brothers of Metal,Prophecy of Ragnarök,2017,MUSIC_VIDEO_TYPE_ATV,14632850,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,95.78,High
M025,Beast in Black,Blind and Frozen,Finland,2017,power metal,,IVKByFMQHss,https://music.youtube.com/watch?v=IVKByFMQHss,Blind And Frozen,Beast In Black,Berserker,2017,MUSIC_VIDEO_TYPE_ATV,14385630,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,94.58,High
M026,Stratovarius,Unbreakable,Finland,2013,power metal,,fnGiOAUutBQ,https://music.youtube.com/watch?v=fnGiOAUutBQ,Unbreakable,Stratovarius,Nemesis (Special Edition),2013,MUSIC_VIDEO_TYPE_ATV,2712038,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,83.73,High
M027,Sonata Arctica,The Wolves Die Young,Finland,2014,power metal,,r8tqSA-B0oc,https://music.youtube.com/watch?v=r8tqSA-B0oc,The Wolves Die Young,Sonata Arctica,The Wolves Die Young,2014,MUSIC_VIDEO_TYPE_ATV,49097,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,48.80,Middle
M028,Turisas,Ten More Miles,Finland,2013,heavy metal,,Ajmz4W-hRI8,https://music.youtube.com/watch?v=Ajmz4W-hRI8,Ten More Miles,Turisas,Turisas2013,2013,MUSIC_VIDEO_TYPE_ATV,77486,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,53.61,Middle
M029,Rhapsody of Fire,Rain of Fury,Italy,2019,power metal,,sWtXS00mZjM,https://music.youtube.com/watch?v=sWtXS00mZjM,Rain of Fury,Rhapsody Of Fire,The Eighth Mountain,2019,MUSIC_VIDEO_TYPE_ATV,648139,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,71.69,Buffer
M030,Wind Rose,Drunken Dwarves,Italy,2019,power metal,,oPQAfz1GulI,https://music.youtube.com/watch?v=oPQAfz1GulI,Drunken Dwarves,Wind Rose,Wintersaga,2019,MUSIC_VIDEO_TYPE_ATV,4712660,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,87.35,High
M031,Trick or Treat,Rabbit's Hill,Italy,2012,power metal,,o1eZt_g8yrw,https://music.youtube.com/watch?v=o1eZt_g8yrw,Rabbit's Hill,Trick Or Treat,"Rabbit's Hill, Pt. 1",2012,MUSIC_VIDEO_TYPE_ATV,126,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,0.60,Low
M032,Vision Divine,Angel of Revenge,Italy,2018,power metal,,183PB-W2FB4,https://music.youtube.com/watch?v=183PB-W2FB4,Angel of Revenge,Vision Divine,Angel of Revenge,2018,MUSIC_VIDEO_TYPE_ATV,203378,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,60.84,Middle
M033,Angra,Black Hearted Soul,Brazil,2014,power metal,,SAuTtZ6D2UI,https://music.youtube.com/watch?v=SAuTtZ6D2UI,Black Hearted Soul,Angra,Secret Garden,2014,MUSIC_VIDEO_TYPE_ATV,11625,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,29.52,Buffer
M034,Shaman,Brand New Me,Brazil,2022,power metal,,netD8CyDePg,https://music.youtube.com/watch?v=netD8CyDePg,Brand New Me,Shaman,Rescue,2022,MUSIC_VIDEO_TYPE_ATV,27865,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,43.98,Middle
M035,Armored Dawn,Sail Away,Brazil,2018,heavy metal,,7uiYjmxyHSM,https://music.youtube.com/watch?v=7uiYjmxyHSM,Sail Away,Armored Dawn,Barbarians in Black,2018,MUSIC_VIDEO_TYPE_ATV,8760,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,28.31,Buffer
M036,Galneryus,Raise My Sword,Japan,2015,power metal,,h3YRkoY5EAw,https://music.youtube.com/watch?v=h3YRkoY5EAw,RAISE MY SWORD,GALNERYUS,UNDER THE FORCE OF COURAGE,2015,MUSIC_VIDEO_TYPE_ATV,1127830,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,74.10,Buffer
M037,Anthem,The Artery Song,Japan,2012,heavy metal,,W2uoZIPPM18,https://music.youtube.com/watch?v=W2uoZIPPM18,The Artery Song,Anthem,The Artery Song,2017,MUSIC_VIDEO_TYPE_ATV,20184,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,39.16,Middle
M038,Concerto Moon,Alone in Paradise,Japan,2017,power metal,,IsRd3kIThAo,https://music.youtube.com/watch?v=IsRd3kIThAo,ALONE IN PARADISE,CONCERTO MOON,OUROBOROS,2019,MUSIC_VIDEO_TYPE_ATV,242,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,3.01,Low
M039,Lords of Black,Merciless,Spain,2016,heavy metal,,2apioTBgPxU,https://music.youtube.com/watch?v=2apioTBgPxU,Merciless,Lords Of Black,II,2016,MUSIC_VIDEO_TYPE_ATV,536,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,5.42,Low
