candidate_id,artist,title,country,expected_year,style,youtube_artist_name,youtube_video_id,youtube_url,youtube_title,youtube_artists,youtube_album,youtube_album_year,youtube_video_type,view_count,like_count,comment_count,published_at,data_source,captured_at_utc,validation_status,validation_notes,youtube_percentile,youtube_tier,youtube_log10_popularity,youtube_magnitude_tier,youtube_magnitude_cluster_center,youtube_magnitude_distance_to_center
M013,Primal Fear,The End Is Near,Germany,2016,heavy metal,,Cjp-AkJFoBg,https://music.youtube.com/watch?v=Cjp-AkJFoBg,The End Is Near,Primal Fear,Rulebreaker,2016,MUSIC_VIDEO_TYPE_ATV,247543,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,63.25,Buffer,5.393652,Middle,4.555245,0.838407
M014,Grave Digger,Highland Farewell,Germany,2010,heavy metal,,au-tVxsTZxI,https://music.youtube.com/watch?v=au-tVxsTZxI,Highland Farewell,Grave Digger,The Clans Will Rise Again,2010,MUSIC_VIDEO_TYPE_ATV,19757,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,37.95,Middle,4.295743,Middle,4.555245,0.259502
M015,Iron Maiden,Speed of Light,United Kingdom,2015,heavy metal,,GhUkyiAdXB4,https://music.youtube.com/watch?v=GhUkyiAdXB4,Speed of Light,Iron Maiden,The Book of Souls,2015,MUSIC_VIDEO_TYPE_ATV,1361348,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,76.51,High,6.133969,High,6.485520,0.351551
M016,Judas Priest,Lightning Strike,United Kingdom,2018,heavy metal,,Gvwm29a-bNk,https://music.youtube.com/watch?v=Gvwm29a-bNk,Lightning Strike,Judas Priest,Firepower,2018,MUSIC_VIDEO_TYPE_ATV,1960543,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,80.12,High,6.292377,High,6.485520,0.193144
M017,Saxon,Thunderbolt,United Kingdom,2018,heavy metal,,zJ8FuN2OXHI,https://music.youtube.com/watch?v=zJ8FuN2OXHI,Thunderbolt,Saxon,Thunderbolt,2018,MUSIC_VIDEO_TYPE_ATV,65843,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,52.41,Middle,4.818516,Middle,4.555245,0.263271
M018,DragonForce,Cry Thunder,United Kingdom,2012,power metal,,20vgg_WoTz4,https://music.youtube.com/watch?v=20vgg_WoTz4,Cry Thunder,Dragonforce,The Power Within,2012,MUSIC_VIDEO_TYPE_ATV,1631618,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,78.92,High,6.212619,High,6.485520,0.272902
M019,Sabaton,Bismarck,Sweden,2019,power metal,,ERj08qJ2FAU,https://music.youtube.com/watch?v=ERj08qJ2FAU,Bismarck,Sabaton,Bismarck,2019,MUSIC_VIDEO_TYPE_ATV,14176293,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,93.37,High,7.151563,High,6.485520,0.666042
M020,HammerFall,Hector's Hymn,Sweden,2014,power metal,,8UhfQOUt-uE,https://music.youtube.com/watch?v=8UhfQOUt-uE,Hector's Hymn,Hammerfall,(R)Evolution,2014,MUSIC_VIDEO_TYPE_ATV,1100948,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,72.89,Buffer,6.041767,High,6.485520,0.443753
M021,Bloodbound,Moria,Sweden,2011,power metal,,ReUYXFb2Ug8,https://music.youtube.com/watch?v=ReUYXFb2Ug8,Moria,Bloodbound,Unholy Cross,2011,MUSIC_VIDEO_TYPE_ATV,3751663,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,84.94,High,6.574224,High,6.485520,0.088704
M022,Dynazty,Heartless Madness,Sweden,2020,power metal,,y9EltYiqC4U,https://music.youtube.com/watch?v=y9EltYiqC4U,Heartless Madness,Dynazty,The Dark Delight,2020,MUSIC_VIDEO_TYPE_ATV,9364147,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,92.17,High,6.971468,High,6.485520,0.485948
M023,Civil War,Rome Is Falling,Sweden,2012,power metal,,MuAMjthSJm0,https://music.youtube.com/watch?v=MuAMjthSJm0,Rome Is Falling,Civil War,The Killer Angels,2013,MUSIC_VIDEO_TYPE_ATV,1392219,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,77.71,High,6.143708,High,6.485520,0.341813
M024,Brothers of Metal,Yggdrasil,Sweden,2017,power metal,,3GicPBWG5EM,https://music.youtube.com/watch?v=3GicPBWG5EM,Yggdrasil,Brothers of Metal,Prophecy of Ragnarök,2017,MUSIC_VIDEO_TYPE_ATV,14632850,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,95.78,High,7.165329,High,6.485520,0.679809
M025,Beast in Black,Blind and Frozen,Finland,2017,power metal,,IVKByFMQHss,https://music.youtube.com/watch?v=IVKByFMQHss,Blind And Frozen,Beast In Black,Berserker,2017,MUSIC_VIDEO_TYPE_ATV,14385630,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,94.58,High,7.157929,High,6.485520,0.672408
M026,Stratovarius,Unbreakable,Finland,2013,power metal,,fnGiOAUutBQ,https://music.youtube.com/watch?v=fnGiOAUutBQ,Unbreakable,Stratovarius,Nemesis (Special Edition),2013,MUSIC_VIDEO_TYPE_ATV,2712038,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,83.73,High,6.433296,High,6.485520,0.052224
M027,Sonata Arctica,The Wolves Die Young,Finland,2014,power metal,,r8tqSA-B0oc,https://music.youtube.com/watch?v=r8tqSA-B0oc,The Wolves Die Young,Sonata Arctica,The Wolves Die Young,2014,MUSIC_VIDEO_TYPE_ATV,49097,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,48.80,Middle,4.691064,Middle,4.555245,0.135818
M028,Turisas,Ten More Miles,Finland,2013,heavy metal,,Ajmz4W-hRI8,https://music.youtube.com/watch?v=Ajmz4W-hRI8,Ten More Miles,Turisas,Turisas2013,2013,MUSIC_VIDEO_TYPE_ATV,77486,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,53.61,Middle,4.889229,Middle,4.555245,0.333984
M029,Rhapsody of Fire,Rain of Fury,Italy,2019,power metal,,sWtXS00mZjM,https://music.youtube.com/watch?v=sWtXS00mZjM,Rain of Fury,Rhapsody Of Fire,The Eighth Mountain,2019,MUSIC_VIDEO_TYPE_ATV,648139,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,71.69,Buffer,5.811669,High,6.485520,0.673852
M030,Wind Rose,Drunken Dwarves,Italy,2019,power metal,,oPQAfz1GulI,https://music.youtube.com/watch?v=oPQAfz1GulI,Drunken Dwarves,Wind Rose,Wintersaga,2019,MUSIC_VIDEO_TYPE_ATV,4712660,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,87.35,High,6.673266,High,6.485520,0.187746
M031,Trick or Treat,Rabbit's Hill,Italy,2012,power metal,,o1eZt_g8yrw,https://music.youtube.com/watch?v=o1eZt_g8yrw,Rabbit's Hill,Trick Or Treat,"Rabbit's Hill, Pt. 1",2012,MUSIC_VIDEO_TYPE_ATV,126,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,0.60,Low,2.103804,Low,3.044291,0.940488
M032,Vision Divine,Angel of Revenge,Italy,2018,power metal,,183PB-W2FB4,https://music.youtube.com/watch?v=183PB-W2FB4,Angel of Revenge,Vision Divine,Angel of Revenge,2018,MUSIC_VIDEO_TYPE_ATV,203378,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,60.84,Middle,5.308306,Middle,4.555245,0.753061
M033,Angra,Black Hearted Soul,Brazil,2014,power metal,,SAuTtZ6D2UI,https://music.youtube.com/watch?v=SAuTtZ6D2UI,Black Hearted Soul,Angra,Secret Garden,2014,MUSIC_VIDEO_TYPE_ATV,11625,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,29.52,Buffer,4.065430,Middle,4.555245,0.489815
M034,Shaman,Brand New Me,Brazil,2022,power metal,,netD8CyDePg,https://music.youtube.com/watch?v=netD8CyDePg,Brand New Me,Shaman,Rescue,2022,MUSIC_VIDEO_TYPE_ATV,27865,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,43.98,Middle,4.445075,Middle,4.555245,0.110171
M035,Armored Dawn,Sail Away,Brazil,2018,heavy metal,,7uiYjmxyHSM,https://music.youtube.com/watch?v=7uiYjmxyHSM,Sail Away,Armored Dawn,Barbarians in Black,2018,MUSIC_VIDEO_TYPE_ATV,8760,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,28.31,Buffer,3.942554,Middle,4.555245,0.612692
M036,Galneryus,Raise My Sword,Japan,2015,power metal,,h3YRkoY5EAw,https://music.youtube.com/watch?v=h3YRkoY5EAw,RAISE MY SWORD,GALNERYUS,UNDER THE FORCE OF COURAGE,2015,MUSIC_VIDEO_TYPE_ATV,1127830,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,74.10,Buffer,6.052244,High,6.485520,0.433276
M037,Anthem,The Artery Song,Japan,2012,heavy metal,,W2uoZIPPM18,https://music.youtube.com/watch?v=W2uoZIPPM18,The Artery Song,Anthem,The Artery Song,2017,MUSIC_VIDEO_TYPE_ATV,20184,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,39.16,Middle,4.305029,Middle,4.555245,0.250217
M038,Concerto Moon,Alone in Paradise,Japan,2017,power metal,,IsRd3kIThAo,https://music.youtube.com/watch?v=IsRd3kIThAo,ALONE IN PARADISE,CONCERTO MOON,OUROBOROS,2019,MUSIC_VIDEO_TYPE_ATV,242,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,3.01,Low,2.385606,Low,3.044291,0.658685
M039,Lords of Black,Merciless,Spain,2016,heavy metal,,2apioTBgPxU,https://music.youtube.com/watch?v=2apioTBgPxU,Merciless,Lords Of Black,II,2016,MUSIC_VIDEO_TYPE_ATV,536,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,5.42,Low,2.729974,Low,3.044291,0.314317
M040,WarCry,Huelo el Miedo,Spain,2011,power metal,,5cTkn45LhzM,https://music.youtube.com/watch?v=5cTkn45LhzM,Huelo el Miedo,Warcry,Inmortal,2013,MUSIC_VIDEO_TYPE_ATV,2380848,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,82.53,High,6.376732,High,6.485520,0.108789
M041,Firewind,World on Fire,Greece,2010,power metal,,qmnQfohX2vc,https://music.youtube.com/watch?v=qmnQfohX2vc,World On Fire,Firewind,World On Fire,2010,MUSIC_VIDEO_TYPE_ATV,7505,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,24.70,Low,3.875409,Middle,4.555245,0.679837
M042,Warrior Path,The Mad King,Greece,2021,heavy metal,,92bZxCjwM8o,https://music.youtube.com/watch?v=92bZxCjwM8o,The Mad King,Warrior Path,The Mad King,2021,MUSIC_VIDEO_TYPE_ATV,18369,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,36.75,Buffer,4.264109,Middle,4.555245,0.291136
M043,The Silent Rage,The Deadliest Scourge,Greece,2016,power metal,,LixWA9Q7pNQ,https://music.youtube.com/watch?v=LixWA9Q7pNQ,The Deadliest Scourge,The Silent Rage,The Deadliest Scourge,2016,MUSIC_VIDEO_TYPE_ATV,540,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,6.63,Low,2.733197,Low,3.044291,0.311094
M044,Myrath,Believer,Tunisia,2016,power metal,,k_U6exg_7Rk,https://music.youtube.com/watch?v=k_U6exg_7Rk,Believer,Myrath,Legacy,2016,MUSIC_VIDEO_TYPE_ATV,556766,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,70.48,Buffer,5.745673,High,6.485520,0.739847
M045,Carthagods,The Devil's Doll,Tunisia,2015,heavy metal,,FnGWUPTT9vk,https://music.youtube.com/watch?v=FnGWUPTT9vk,The Devil's Doll,Carthagods,The Devil's Doll,2018,MUSIC_VIDEO_TYPE_ATV,1797,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,13.86,Low,3.254790,Low,3.044291,0.210498
M046,Orphaned Land,Like Orpheus,Israel,2018,heavy metal,,3G3hBjV6R60,https://music.youtube.com/watch?v=3G3hBjV6R60,Like Orpheus,Orphaned Land,Unsung Prophets And Dead Messiahs,2018,MUSIC_VIDEO_TYPE_ATV,129774,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,57.23,Middle,5.113191,Middle,4.555245,0.557946
M047,The HU,Wolf Totem,Mongolia,2018,heavy metal,,jpsUPdNthGY,https://music.youtube.com/watch?v=jpsUPdNthGY,Wolf Totem,The HU,The Gereg (Deluxe Edition),2020,MUSIC_VIDEO_TYPE_ATV,4761121,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,88.55,High,6.677709,High,6.485520,0.192189
M048,Against Evil,The Sound of Violence,India,2021,heavy metal,,QmnHuQ9peZM,https://music.youtube.com/watch?v=QmnHuQ9peZM,The Sound of Violence,Against Evil,End of the Line,2021,MUSIC_VIDEO_TYPE_ATV,4548,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,22.29,Low,3.657916,Low,3.044291,0.613624
M049,Kryptos,Full Throttle,India,2019,heavy metal,,BWIuhbckB_I,https://music.youtube.com/watch?v=BWIuhbckB_I,Full Throttle,Kryptos,Burn up the Night,2014,MUSIC_VIDEO_TYPE_ATV,33414,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,47.59,Middle,4.523941,Middle,4.555245,0.031304
M050,LORD,United,Australia,2019,power metal,,p3syPBCnQ3w,https://music.youtube.com/watch?v=p3syPBCnQ3w,United,Lord,United,2019,MUSIC_VIDEO_TYPE_ATV,1594,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,12.65,Low,3.202761,Low,3.044291,0.158469
M051,Black Majesty,Children of the Abyss,Australia,2018,power metal,,T8K-pqAWMos,https://music.youtube.com/watch?v=T8K-pqAWMos,Children of the Abyss,Black Majesty,Children of the Abyss,2018,MUSIC_VIDEO_TYPE_ATV,2378,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,16.27,Low,3.376394,Low,3.044291,0.332103
M052,Elm Street,Heart Racer,Australia,2016,heavy metal,,z6bn3c2mSlI,https://music.youtube.com/watch?v=z6bn3c2mSlI,Heart Racer,Elm Street,Heart Racer,2015,MUSIC_VIDEO_TYPE_ATV,2512,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,18.67,Low,3.400192,Low,3.044291,0.355901
M053,Striker,Born to Lose,Canada,2018,heavy metal,,BibO80sOp-s,https://music.youtube.com/watch?v=BibO80sOp-s,Born to Lose,Striker,Striker,2017,MUSIC_VIDEO_TYPE_ATV,15833,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,34.34,Buffer,4.199591,Middle,4.555245,0.355655
M054,Skull Fist,Better Late Than Never,Canada,2018,heavy metal,,8EELvJAEmIc,https://music.youtube.com/watch?v=8EELvJAEmIc,Better Late Than Never,Skull Fist,Way of the Road,2018,MUSIC_VIDEO_TYPE_ATV,29668,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,45.18,Middle,4.472303,Middle,4.555245,0.082942
M055,Traveler,Starbreaker,Canada,2019,heavy metal,,BHfVbP9rjnE,https://music.youtube.com/watch?v=BHfVbP9rjnE,Starbreaker,Traveler,Traveler,2019,MUSIC_VIDEO_TYPE_ATV,31916,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,46.39,Middle,4.504022,Middle,4.555245,0.051223
M056,Jorn,Life on Death Road,Norway,2017,heavy metal,,lnxBmVFFO6g,https://music.youtube.com/watch?v=lnxBmVFFO6g,Life on Death Road,Jorn,Life on Death Road,2017,MUSIC_VIDEO_TYPE_ATV,22832,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,41.57,Middle,4.358563,Middle,4.555245,0.196682
M057,Communic,The Bottom Deep,Norway,2011,heavy metal,,IlZjXlhAXOQ,https://music.youtube.com/watch?v=IlZjXlhAXOQ,The Bottom Deep,Communic,The Bottom Deep,2011,MUSIC_VIDEO_TYPE_ATV,3047,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,19.88,Low,3.484015,Low,3.044291,0.439723
M058,Volbeat,The Devil's Bleeding Crown,Denmark,2016,heavy metal,,5dqummhs3S8,https://music.youtube.com/watch?v=5dqummhs3S8,The Devil's Bleeding Crown,Volbeat,Seal The Deal & Let's Boogie (Deluxe),2016,MUSIC_VIDEO_TYPE_ATV,5343528,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,89.76,High,6.727828,High,6.485520,0.242308
M059,Iron Fire,Among the Dead,Denmark,2016,power metal,,VnNgx3aIOtM,https://music.youtube.com/watch?v=VnNgx3aIOtM,Among the Dead,Iron Fire,Among the Dead,2016,MUSIC_VIDEO_TYPE_ATV,13998,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,31.93,Buffer,4.146097,Middle,4.555245,0.409148
M060,Pyramaze,Disciples of the Sun,Denmark,2015,power metal,,TeIgtmGKtzY,https://music.youtube.com/watch?v=TeIgtmGKtzY,Disciples of the Sun,Pyramaze,Disciples of the Sun,2015,MUSIC_VIDEO_TYPE_ATV,64555,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,51.20,Middle,4.809937,Middle,4.555245,0.254691
M061,Iron Mask,Tree of the World,Belgium,2020,power metal,,5jU4FOgki9A,https://music.youtube.com/watch?v=5jU4FOgki9A,Tree of the World,Iron Mask,Tree of the World,2020,MUSIC_VIDEO_TYPE_ATV,21680,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,40.36,Middle,4.336079,Middle,4.555245,0.219166
M062,Fireforce,Combat Metal,Belgium,2014,heavy metal,,zip1C800tdU,https://music.youtube.com/watch?v=zip1C800tdU,Combat Metal,Fireforce,Deathbringer,2014,MUSIC_VIDEO_TYPE_ATV,23220,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,42.77,Middle,4.365881,Middle,4.555245,0.189364
M063,Existance,Heavy Metal Fury,France,2016,heavy metal,,shgtfhEoY1c,https://music.youtube.com/watch?v=shgtfhEoY1c,Heavy Metal Fury,Existance,Breaking the Rock,2016,MUSIC_VIDEO_TYPE_ATV,7556,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,25.90,Buffer,3.878349,Middle,4.555245,0.676896
M064,Sortilège,Messager - 2021,France,2021,heavy metal,,mbrjS9BqzGw,https://music.youtube.com/watch?v=mbrjS9BqzGw,Messager (2021),Sortilège,Phoenix,2021,MUSIC_VIDEO_TYPE_ATV,4487,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,21.08,Low,3.652053,Low,3.044291,0.607761
M065,Attick Demons,City of Golden Gates,Portugal,2016,heavy metal,,DAV2A8R2x1w,https://music.youtube.com/watch?v=DAV2A8R2x1w,City of Golden Gates,Attick Demons,Atlantis,2020,MUSIC_VIDEO_TYPE_ATV,2445,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,17.47,Low,3.388456,Low,3.044291,0.344165
M066,Trooper,Destin,Romania,2013,heavy metal,,xe7dw6pDpRM,https://music.youtube.com/watch?v=xe7dw6pDpRM,Destin,Trooper,Stefan cel Mare - Poemele Moldovei,2018,MUSIC_VIDEO_TYPE_ATV,343913,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,65.66,Buffer,5.536450,High,6.485520,0.949071
M067,Pentagram,Geçmişin Yükü,Turkey,2012,heavy metal,,Smk-Vsb9AOk,https://music.youtube.com/watch?v=Smk-Vsb9AOk,Geçmişin Yükü,Pentagram,MMXII,2012,MUSIC_VIDEO_TYPE_ATV,1223810,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,75.30,High,6.087714,High,6.485520,0.397806
M068,Aria,Точка невозврата,Russia,2014,heavy metal,Ария,F3fQrLiWLZI,https://music.youtube.com/watch?v=F3fQrLiWLZI,Точка невозврата,Ария,30,2015,MUSIC_VIDEO_TYPE_ATV,119676,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,54.82,Middle,5.078011,Middle,4.555245,0.522765
M069,Epidemia,Выбор есть!,Russia,2018,power metal,Эпидемия,0Wfw-sz6gFY,https://music.youtube.com/watch?v=0Wfw-sz6gFY,Выбор есть!,Эпидемия,Легенда Ксентарона,2018,MUSIC_VIDEO_TYPE_ATV,528751,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,69.28,Buffer,5.723252,High,6.485520,0.762268
M070,Sunrise,Tower of Fear,Ukraine,2016,power metal,,nI_KthrRDPI,https://music.youtube.com/watch?v=nI_KthrRDPI,Tower of Fear,Sunrise,Absolute Clarity,2016,MUSIC_VIDEO_TYPE_ATV,6895,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,23.49,Low,3.838597,Middle,4.555245,0.716648
M071,Agora,En la Nada,Mexico,2011,heavy metal,,noYU7HVpjZo,https://music.youtube.com/watch?v=noYU7HVpjZo,En la Nada,Agora,Regresa al Vértigo,2011,MUSIC_VIDEO_TYPE_ATV,13043,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,30.72,Buffer,4.115411,Middle,4.555245,0.439835
M072,Helker,Fight,Argentina,2013,heavy metal,,_tSvA01hUb8,https://music.youtube.com/watch?v=_tSvA01hUb8,Fight,Helker,Fight,2017,MUSIC_VIDEO_TYPE_ATV,1507,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,11.45,Low,3.178401,Low,3.044291,0.134110
M073,Deadline,Bloodbeast,South Africa,2022,heavy metal,,HjVLy81Pek0,https://music.youtube.com/watch?v=HjVLy81Pek0,Bloodbeast,Deadline,Black Wolf City,2017,MUSIC_VIDEO_TYPE_ATV,435,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,4.22,Low,2.639486,Low,3.044291,0.404805
M074,Skinflint,Flesh Potion,Botswana,2022,heavy metal,,Lm9xUURZJ6k,https://music.youtube.com/watch?v=Lm9xUURZJ6k,Flesh Potion,Skinflint,Adze,2022,MUSIC_VIDEO_TYPE_ATV,863,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,7.83,Low,2.936514,Low,3.044291,0.107778
M075,Arka'n Asrafokor,Awala,Togo,2019,heavy metal,ARKA'N,Jul7AnCFwFs,https://music.youtube.com/watch?v=Jul7AnCFwFs,Awala,ARKA'N,Zã Keli,2019,MUSIC_VIDEO_TYPE_ATV,16813,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,35.54,Buffer,4.225671,Middle,4.555245,0.329574
M076,Emerald,Digital Slavery,Switzerland,2012,heavy metal,,-Qz9Af0Gcmg,https://music.youtube.com/watch?v=-Qz9Af0Gcmg,Digital Slavery,Emerald,Digital Slavery,2019,MUSIC_VIDEO_TYPE_ATV,150,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,1.81,Low,2.178977,Low,3.044291,0.865315
